Categorie,Subcategorie,SUB-SUBCATEGORIE/BRAND,Colectie,Nume produs,Nume variante/SUBTITLU,Link variante,SKU
PLACI CERAMICE,NICHE TILES,41ZERO42,Milano70,Milano70,CACAO,https://www.41zero42.com/collections/milano70-en/,
,,,,Milano70,COGNAC,,
,,,,Milano70,GOLD,,
,,,,Milano70,OLIVE,,
,,,,Milano70,PEACOCK,,
,,,Stories,Stories,DANCE,https://www.41zero42.com/collections/stories-en/,
,,,,Stories,EDDIE,,
,,,,Stories,CARAVAN,,
,,,,Stories,COSTIERA,,
,,,Nok,Nok,NOK TERRA,https://www.41zero42.com/collections/nok-en/,
,,,,Nok,NOK IVORY,,
,,,,Nok,NOK TAUPE,,
,,,,Nok,NOK EBONY,,
,,,,Nok,GRAINS TERRA,,
,,,,Nok,GRAINS IVORY,,
,,,,Nok,GRAINS TAUPE,,
,,,,Nok,GRAINS EBONY,,
,,,,Nok,SNAKE TERRA,,
,,,,Nok,SNAKE IVORY,,
,,,,Nok,SNAKE TAUPE,,
,,,,Nok,SNAKE EBONY,,
,,,,Nok,TOTEM TERRA,,
,,,,Nok,TOTEM TAUPE,,
,,,,Nok,TOTEM IVORY,,
,,,,Nok,TOTEM EBONY,,
,,,NANO Gap,NANO GAP,BIANCO,https://www.41zero42.com/collections/nano-gap-eng/,
,,,,NANO GAP,GRIGIO,,
,,,,NANO GAP,NERO,,
,,,BISCUIT,BISCUIT,BIANCO,https://www.41zero42.com/collections/biscuit-eng/,
,,,,BISCUIT,SALVIA,,
,,,,BISCUIT,NOTTE,,
,,,,BISCUIT,BORDEAUX,,
,,,,BISCUIT,TERRA,,
,,,,BISCUIT,POWDER,,
,,,FUTURA,FUTURA,WHITE,https://www.41zero42.com/collections/futura-eng/,
,,,,FUTURA,HALF WHITE,,
,,,,FUTURA,DROP WHITE,,
,,,,FUTURA,GRID WHITE,,
,,,,FUTURA,T WHITE,,
,,,,FUTURA,BLUE,,
,,,,FUTURA,HALF BLUE,,
,,,,FUTURA,DROP BLUE,,
,,,,FUTURA,GRID BLUE,,
,,,,FUTURA,T BLUE,,
,,,,FUTURA,ROSE,,
,,,,FUTURA,HALF ROSE,,
,,,,FUTURA,DROP ROSE,,
,,,,FUTURA,GRID ROSE,,
,,,,FUTURA,T ROSE,,
,,,,FUTURA,BLACK,,
