id,product_id,pdf_id,sort_order,created_at
80000,80000,80000,0,2026-05-10 23:17:02
80001,80000,80001,1,2026-05-10 23:17:02
80002,80001,80002,0,2026-05-10 23:17:02
80003,80001,80003,1,2026-05-10 23:17:02
80004,80002,80004,0,2026-05-10 23:17:02
80005,80002,80005,1,2026-05-10 23:17:02
80006,80003,80006,0,2026-05-10 23:17:02
80007,80003,80007,1,2026-05-10 23:17:02
80008,80004,80008,0,2026-05-10 23:17:02
80009,80004,80009,1,2026-05-10 23:17:02
80010,80005,80010,0,2026-05-10 23:17:02
80011,80005,80011,1,2026-05-10 23:17:02
80012,80006,80012,0,2026-05-10 23:17:02
80013,80006,80013,1,2026-05-10 23:17:02
80014,80007,80014,0,2026-05-10 23:17:02
80015,80007,80015,1,2026-05-10 23:17:02
80016,80008,80016,0,2026-05-10 23:17:02
80017,80008,80017,1,2026-05-10 23:17:02
80018,80009,80018,0,2026-05-10 23:17:02
80019,80009,80019,1,2026-05-10 23:17:02
80020,80010,80020,0,2026-05-10 23:17:02
80021,80010,80021,1,2026-05-10 23:17:02
