id,title,description,category,type,collection,is_new,subtype,manufacturer,catalog_id,finishes,position,sizes,thickness,material,shape,cut,diameter,length,width,height
80000,Milano70,"A bit sciura, a little off beat.",ceramice,NICHE TILES,Milano70,False,,41zero42,,GLOSSY,,,"8,5 mm",GLAZED PORCELAIN,,,,,,
80001,Stories,A box full of wonders.,ceramice,NICHE TILES,Stories,False,,41zero42,,MATTE / GLOSSY,,,8mm,HD DIGITAL GLAZED PORCELAIN,,,,,,
80002,Nok,A new earthen matter.,ceramice,NICHE TILES,Nok,False,,41zero42,,RECTIFIED - NATURAL / GRAINS,,,9mm,HD DIGITAL COLORED BODY PORCELAIN,,,,,,
80003,NANO GAP,Mind the Gap!,ceramice,NICHE TILES,NANO Gap,False,,41zero42,,MATTE,,,7mm,INDIVIDUALLY EXTRUDED TILES IN FULL-BODY PORCELAIN,,,,,,
80004,BISCUIT,Choose your recipe.,ceramice,NICHE TILES,BISCUIT,False,,41zero42,,MATTE,,,8 mm,WHITE BODY SINGLE-FIRED WALL TILE,,,,,,
80005,FUTURA,An alphabet of basic shapes.,ceramice,NICHE TILES,FUTURA,False,,41zero42,,NATURAL,,,10mm,HD DIGITAL GLAZED PORCELAIN,,,,,,
80006,WIGWAG,"Uneven movements, the game light plays and rhythm.",ceramice,NICHE TILES,WIGWAG,False,,41zero42,,GLOSSY - 8 PATTERN RAMDOMLY MIXED,,,8mm,WHITE BODY SINGLE-FIRED WALL TILE,,,,,,
80007,COSMO,A new universe.,ceramice,NICHE TILES,COSMO,False,,41zero42,,Natural Rectified,,,9mm,HD Digital colored body porcelain,,,,,,
80008,Pixel41,Don’t forget to play.,ceramice,NICHE TILES,Pixel41,False,,41zero42,,NATURAL,,,10mm,GLAZED PORCELAIN,,,,,,
80009,RIGO,The contemporary charm of wood’s imperfections.,ceramice,NICHE TILES,RIGO,False,,41zero42,,NATURAL,,,8mm,FULL BODY EXTRUDED PORCELAIN,,,,,,
80010,MOU,An unmistakable taste.,ceramice,NICHE TILES,MOU,False,,41zero42,,MATTE / GLOSSY,,,"8,5 mm",WHITE BODY SINGLE-FIRED WALL TILE,,,,,,
