Categorie,Subcategorie,SUB-SUBCATEGORIE/BRAND,Colectie,Nume produs,Nume variante/SUBTITLU,Variante culori,Link variante,COD REFERINTA,,,,,,Nume produs original
PLACI CERAMICE,CONCRETE,ABK,Blend,Concrete Ash,,,https://www.abk.it/en/collection/blend,,,,,,,
,,,,Concrete Grey,,,,,,,,,,
,,,,Concrete Iron,,,,,,,,,,
,,,,Concrete Moon,,,,,,,,,,
,,,Crossroad Chalk,Grey,,,https://www.abk.it/en/collection/crossroad-chalk,,,,,,,
,,,,Sand,,,,,,,,,,
,,,,White,,,,,,,,,,
,Marble,,Sensi Fantasy,ARCHES,,,https://www.abk.it/en/collection/sensi-fantasy,,,,,,,
,,,,STRIPES,,,,,,,,,,
,,,,STRIPES,,,,,,,,,,
,,,,BALI,,,,,,,,,,
,,,Sensi Nuance,SEA GREEN,,,https://www.abk.it/en/collection/sensi-nuance,,,,,,,
,,,,DEEP RIVER,,,,,,,,,,
,,,,WHITE MACAUBAS,,,,,,,,,,
,,,Sensi 900,Pulpis Ivory,,,https://www.abk.it/en/collection/sensi-900,,,,,,,
,,,,VENEZIA NUVOLA,,,,,,,,,,
,,,,OYSTER WHITE,,,,,,,,,,
,,,,STONE GREY,,,,,,,,,,
,,,Sensi Gems,Taj Mahal,,,https://www.abk.it/en/collection/sensi-gems,,,,,,,
,,,,Iceberg,,,,,,,,,,
,,,Sensi Up,Invisible Pearl,,,https://www.abk.it/en/collection/sensi-up,,,,,,,
,,,,Statuario Versilia,,,,,,,,,,
,,,,Breccia Melange,,,,,,,,,,
,RESIN,,Alterego,Milk,,,https://www.abk.it/en/collection/alterego,,,,,,,
,,,,Sand,,,,,,,,,,
,,,,Ash,,,,,,,,,,
,,,,Mud,,,,,,,,,,
,,,,Cotto,,,,,,,,,,
,,,,Clay,,,,,,,,,,
,Stone,,Sensi Roma,WHITE,,,https://www.abk.it/en/collection/sensi-roma,,,,,,,
,,,,IVORY,,,,,,,,,,
,,,,CREAM,,,,,,,,,,
,,,,RED,,,,,,,,,,
,,,Cliff,Ivory,,,https://www.abk.it/en/collection/cliff,,,,,,,
,,,,Sand,,,,,,,,,,
,,,,Ash,,,,,,,,,,
,,,Poetry Stone,Trani Ivory,,,https://www.abk.it/en/collection/poetry-stone,,,,,,,
,,,,Trani Beige,,,,,,,,,,
,,,,Pirenei Ecru,,,,,,,,,,
,,,,Pirenei Grey,,,,,,,,,,
,,,,Piase Smoke,,,,,,,,,,
,,,Poetry Stone Reloaded,Jura Sand,,,https://www.abk.it/en/collection/poetry-stone-reloaded,,,,,,,
,,,,Jura Ash,,,,,,,,,,
,,,,Basaltina Smoke,,,,,,,,,,
,,,,Basaltina Dark,,,,,,,,,,
,,,,Carving Smoke,,,,,,,,,,
,,,,Carving Ecru,,,,,,,,,,
,,,,Carving Beige,,,,,,,,,,
,BRICK,,Poetry Colors,Pearl,,,https://www.abk.it/en/collection/poetry-colors,,,,,,,
,,,,Smoke,,,,,,,,,,
,,,,Blush,,,,,,,,,,
,DÉCOR,MOOOI BY ABK,Sandy,Plains Ivory,,,https://moooiceramicsurfaces.com/en/surface/sandy,,,,,,,
,,,,Plains Hay,,,,,,,,,,
,,,,Plains Powder,,,,,,,,,,
,,,,Plains Terracotta,,,,,,,,,,
,,,,Plains Concrete,,,,,,,,,,
,,,,Plains Volcano,,,,,,,,,,
,,,Egg Scape,Ivory,,,https://moooiceramicsurfaces.com/en/surface/egg-scape,,,,,,,
,,,,Powder,,,,,,,,,,
,,,,Concrete,,,,,,,,,,
,,,,Hay,,,,,,,,,,
,,,Special Edition,Geometrical Dove Ivory,,,https://moooiceramicsurfaces.com/en/surface/special-edition,,,,,,,
,,,,Geometrical Rhea Ivory,,,,,,,,,,
,,,,Geometrical Owl Ivory,,,,,,,,,,
,,,,Hypnotic Owl,,,,,,,,,,
