id,title,description,category,type,collection,is_new,subtype,manufacturer,catalog_id,finishes,position,sizes,thickness,material,shape,cut,diameter,length,width,height
650,Concrete Ash — Blend,The industrial look of concrete meets the multicoloured textures of terrazzo in a decidedly contemporary compositional mix.,ceramice,CONCRETE,Blend,False,ABK,ABK,,"Natural, Honed, Antislippery R11, P.tech",,"120x120, 60x120, 90x90, 60x60, 30x60, 120x280",,Full body porcelain,,,,,,
651,Concrete Grey — Blend,The industrial look of concrete meets the multicoloured textures of terrazzo in a decidedly contemporary compositional mix.,ceramice,CONCRETE,Blend,False,ABK,ABK,,"Natural, Honed, Antislippery R11, P.tech",,"120x120, 60x120, 90x90, 60x60, 30x60, 120x280",,Full body porcelain,,,,,,
652,Concrete Iron — Blend,The industrial look of concrete meets the multicoloured textures of terrazzo in a decidedly contemporary compositional mix.,ceramice,CONCRETE,Blend,False,ABK,ABK,,"Natural, Honed, Antislippery R11, P.tech",,"120x120, 60x120, 90x90, 60x60, 30x60, 120x280",,Full body porcelain,,,,,,
653,Concrete Moon — Blend,The industrial look of concrete meets the multicoloured textures of terrazzo in a decidedly contemporary compositional mix.,ceramice,CONCRETE,Blend,False,ABK,ABK,,"Natural, Honed, Antislippery R11, P.tech",,"120x120, 60x120, 90x90, 60x60, 30x60, 120x280",,Full body porcelain,,,,,,
654,Grey — Crossroad Chalk,"In this porcelain tile collection with a minimalist design and a distinctive three-dimensional effect surface, ABK has created an extremely realistic reproduction of the grain and graphic effect of plasters in a wide range of colours and sizes. It is ideal for use in residential building and large architectural projects.",ceramice,CONCRETE,Crossroad Chalk,False,ABK,ABK,,Natural,,"120x120, 60x120, 120x280",,Porcelain slabs,,,,,,
655,Sand — Crossroad Chalk,"In this porcelain tile collection with a minimalist design and a distinctive three-dimensional effect surface, ABK has created an extremely realistic reproduction of the grain and graphic effect of plasters in a wide range of colours and sizes. It is ideal for use in residential building and large architectural projects.",ceramice,CONCRETE,Crossroad Chalk,False,ABK,ABK,,Natural,,"120x120, 60x120, 120x280",,Porcelain slabs,,,,,,
656,White — Crossroad Chalk,"In this porcelain tile collection with a minimalist design and a distinctive three-dimensional effect surface, ABK has created an extremely realistic reproduction of the grain and graphic effect of plasters in a wide range of colours and sizes. It is ideal for use in residential building and large architectural projects.",ceramice,CONCRETE,Crossroad Chalk,False,ABK,ABK,,Natural,,"120x120, 60x120, 120x280",,Porcelain slabs,,,,,,
657,ARCHES — Sensi Fantasy,"Patterns, decorations and design are the hallmarks of Sensi Fantasy, the collection that reinvents the world of marble-effect tiles with astonishing originality. A variety of styles and inspirations are available to create surfaces with three-dimensional effects that stand out for their visual and tactile appeal.",ceramice,Marble,Sensi Fantasy,False,ABK,ABK,,Lux 3D,,"60x120, 120x280",,Full body porcelain,,,,,,
658,STRIPES — Sensi Fantasy,"Patterns, decorations and design are the hallmarks of Sensi Fantasy, the collection that reinvents the world of marble-effect tiles with astonishing originality. A variety of styles and inspirations are available to create surfaces with three-dimensional effects that stand out for their visual and tactile appeal.",ceramice,Marble,Sensi Fantasy,False,ABK,ABK,,Lux 3D,,"60x120, 120x280",,Full body porcelain,,,,,,
659,STRIPES — Sensi Fantasy (2),"Patterns, decorations and design are the hallmarks of Sensi Fantasy, the collection that reinvents the world of marble-effect tiles with astonishing originality. A variety of styles and inspirations are available to create surfaces with three-dimensional effects that stand out for their visual and tactile appeal.",ceramice,Marble,Sensi Fantasy,False,ABK,ABK,,Lux 3D,,"60x120, 120x280",,Full body porcelain,,,,,,
