id,product_id,sku,color,url,gallery_photos,technical_photos
4500,650,ABK_4500,Concrete Ash,https://www.abk.it/en/collection/blend,"[""https://www.abk.it/public/collezioneColori/961.jpg?v="", ""https://www.abk.it/public/collezioneGallery/3328.jpg"", ""https://www.abk.it/public/collezioneGallery/3327.jpg"", ""https://www.abk.it/public/collezioneGallery/3326.jpg"", ""https://www.abk.it/public/collezioneGallery/1700.jpg"", ""https://www.abk.it/public/collezioneGallery/3019.jpg"", ""https://www.abk.it/public/collezioneGallery/1705.jpg"", ""https://www.abk.it/public/collezioneGallery/1703.jpg"", ""https://www.abk.it/public/collezioneGallery/1704.jpg""]",[]
4501,651,ABK_4501,Concrete Grey,https://www.abk.it/en/collection/blend,"[""https://www.abk.it/public/collezioneColori/963.jpg?v="", ""https://www.abk.it/public/collezioneGallery/3334.jpg"", ""https://www.abk.it/public/collezioneGallery/3329.jpg"", ""https://www.abk.it/public/collezioneGallery/1711.jpg"", ""https://www.abk.it/public/collezioneGallery/1707.jpg"", ""https://www.abk.it/public/collezioneGallery/1708.jpg""]",[]
4502,652,ABK_4502,Concrete Iron,https://www.abk.it/en/collection/blend,"[""https://www.abk.it/public/collezioneColori/962.jpg?v="", ""https://www.abk.it/public/collezioneGallery/3331.jpg"", ""https://www.abk.it/public/collezioneGallery/3332.jpg"", ""https://www.abk.it/public/collezioneGallery/3330.jpg"", ""https://www.abk.it/public/collezioneGallery/1717.jpg""]",[]
4503,653,ABK_4503,Concrete Moon,https://www.abk.it/en/collection/blend,"[""https://www.abk.it/public/collezioneColori/960.jpg?v="", ""https://www.abk.it/public/collezioneGallery/1722.jpg"", ""https://www.abk.it/public/collezioneGallery/1718.jpg""]",[]
4504,654,ABK_4504,Grey,https://www.abk.it/en/collection/crossroad-chalk,"[""https://www.abk.it/public/collezioneColori/229.jpg?v=""]",[]
4505,655,ABK_4505,Sand,https://www.abk.it/en/collection/crossroad-chalk,"[""https://www.abk.it/public/collezioneColori/230.jpg?v="", ""https://www.abk.it/public/collezioneGallery/53.jpg"", ""https://www.abk.it/public/collezioneGallery/410.jpg""]",[]
4506,656,ABK_4506,White,https://www.abk.it/en/collection/crossroad-chalk,"[""https://www.abk.it/public/collezioneColori/228.jpg?v=""]",[]
4507,657,ABK_4507,Arches,https://www.abk.it/en/collection/sensi-fantasy,"[""https://www.abk.it/public/collezioneColori/1210.jpg?v="", ""https://www.abk.it/public/collezioneGallery/2460.jpg"", ""https://www.abk.it/public/collezioneGallery/2459.jpg""]",[]
4508,658,ABK_4508,Stripes,https://www.abk.it/en/collection/sensi-fantasy,"[""https://www.abk.it/public/collezioneColori/1211.jpg?v="", ""https://www.abk.it/public/collezioneGallery/3408.jpg"", ""https://www.abk.it/public/collezioneGallery/2467.jpg""]",[]
4509,659,ABK_4509,Stripes,https://www.abk.it/en/collection/sensi-fantasy,"[""https://www.abk.it/public/collezioneColori/1211.jpg?v="", ""https://www.abk.it/public/collezioneGallery/3408.jpg"", ""https://www.abk.it/public/collezioneGallery/2467.jpg""]",[]
