Categorie,Subcategorie,SUB-SUBCATEGORIE,Colectie,Nume produs,Variante culori,Link variante,COD REFERINTA
SANITARE,BATERII,DE BLAT,Tasos,Tasos high,chrome,https://www.thebathcollection.com/en/products/tasos-high-basin-faucet/,BAT_18096
,,,,Tasos low,chrome,https://www.thebathcollection.com/en/products/faucet-faucet-washbasin/,BAT_18095
,,,Milos,Milos high ,chrome,https://www.thebathcollection.com/en/products/milos-chrome-high-basin-faucet/,BAT_18080
,,,,,bronze,https://www.thebathcollection.com/en/products/milos-high-basin-faucet-bronze/,BAT_18092
,,,,,black,https://www.thebathcollection.com/en/products/milos-black-high-basin-faucet/,BAT_18084
,,,,,gun metal,https://www.thebathcollection.com/en/products/milos-gunmetal-high-basin-faucet/,BAT_18088
,,,,Milos low,chrome,https://www.thebathcollection.com/en/products/milos-chrome-basin-faucet/,BAT_18079
,,,,,bronze,https://www.thebathcollection.com/en/products/milos-basin-faucet-bronze/,BAT_18091
,,,,,black,https://www.thebathcollection.com/en/products/milos-grifo-lavabo-negro/,BAT_18083
,,,,,gun metal,https://www.thebathcollection.com/en/products/milos-grifo-lavabo-gunmetal/,BAT_18087
,,,Athenas ,Athenas medium,black,https://www.thebathcollection.com/en/products/grifo-medio-de-lavabo-athenas-negro/,BAT_18069
,,,,,GRAY,https://www.thebathcollection.com/en/products/grifo-medio-de-lavabo-athenas-gris/,BAT_18058
,,,,Athenas low,black,https://www.thebathcollection.com/en/products/athenas-low-basin-faucet-black/,BAT_18068
,,,,,GRAY,https://www.thebathcollection.com/en/products/athenas-grey-low-basin-faucet/,BAT_18057
,,DE PERETE,Tasos,Tasos recessed,chrome,https://www.thebathcollection.com/en/products/tasos-grifo-lavabo-empotrado/,BAT_18097
,,,Milos,Milos recessed,chrome,https://www.thebathcollection.com/en/products/milos-chrome-built-in-faucet/,BAT_18081
,,,,,black,https://www.thebathcollection.com/en/products/milos-grifo-empotrado-negro/,BAT_18085
,,,,,gun metal,https://www.thebathcollection.com/en/products/milos-grifo-empotrado-gunmetal/,BAT_18089
,,,Athenas ,Athenas recessed,gray,https://www.thebathcollection.com/en/products/athenas-built-in-faucet/,BAT_18060
,,FREESTANDING,Athenas ,Athenas high,black,https://www.thebathcollection.com/en/products/grifo-alto-athenas-negro/,BAT_18074
,,,,,gray,https://www.thebathcollection.com/en/products/grifo-alto-athenas-gris/,BAT_18064
,,DE BIDEU,Tasos,Tasos bidet,chrome,https://www.thebathcollection.com/en/products/tasos-bide-faucet/,BAT_18098
,,DUS,Tasos,Tasos shower,chrome,https://www.thebathcollection.com/en/products/tasos-columna-ducha/,BAT_18100
,,,,Tasos recessed,chrome,https://www.thebathcollection.com/en/products/tasos-recessed-shower-faucet/,BAT_18099
,,,Milos,Milos recessed,chrome,https://www.thebathcollection.com/en/products/milos-shower-faucet-chrome/,BAT_18082
,,,,,bronze,https://www.thebathcollection.com/en/products/milos-shower-faucet-bronze/,BAT_18094
,,,,,black,https://www.thebathcollection.com/en/products/milos-shower-faucet-black/,BAT_18086
,,,,,gun metal,https://www.thebathcollection.com/en/products/milos-gunmetal-shower-faucets/,BAT_18090
,,,Athenas ,Athenas recessed,black,https://www.thebathcollection.com/en/products/athenas-shower-faucet-black/,BAT_18076
,,,,,GRAY,https://www.thebathcollection.com/en/products/athenas-gray-shower-faucet/,BAT_18067
,,CADA,Athenas ,Athenas bathtub,GRAY,https://www.thebathcollection.com/en/products/grifo-de-banera-athenas/,BAT_18078
,,,Iconos,Iconos bathtub,GRAY,https://www.thebathcollection.com/en/products/iconos-gray-bath-faucet/,BAT_18065
,,,,,black,https://www.thebathcollection.com/en/products/griferia-de-banera-iconos-negro/,BAT_18075
,,,,,GRAY,https://www.thebathcollection.com/en/products/grifo-de-banera-iconos/,BAT_18077
,VASE DE TOALETA,SUSPENDATE,Oropesa,Oropesa I,white,https://www.thebathcollection.com/en/products/oropesa-wall-hung-toilet/,BAT_4563
,,,Evora ,Evora I,white,https://www.thebathcollection.com/en/products/evora-wall-hung-toilet/,BAT_4549
,,,Antequera,Antequera I,matte white,https://www.thebathcollection.com/en/products/antequera-suspended-matte-toilet/,BAT_4560
,,,,,matte black,https://www.thebathcollection.com/en/products/antequera-black-wall-hung-toilet/,BAT_4561
,,,,,bright white,https://www.thebathcollection.com/en/products/antequera-wall-hung-toilet-gloss/,BAT_4567
,,CU PICIOR,Oropesa,Oropesa II,white,https://www.thebathcollection.com/en/products/oropesa-floor-toilet/,BAT_4566
,,,Antequera,Antequera II,white,https://www.thebathcollection.com/en/products/antequera-inodoro-a-suelo/,BAT_4570
,BIDEURI,SUSPENDATE,Antequera,Antequera bidet I,white,https://www.thebathcollection.com/en/products/antequera-bide-suspended/,BAT_4569
,,,Evora ,Evora bidet I,white,https://www.thebathcollection.com/en/products/bide-suspendido-evora/,BAT_4550
,,,Oropesa,Oropesa bidet I,white,https://www.thebathcollection.com/en/products/oropesa-suspended-bidet/,BAT_4565
,,CU PICIOR,Oropesa,Oropesa bidet II,white,https://www.thebathcollection.com/en/products/oropesa-bide-a-suelo/,BAT_4564
,,,Antequera,Antequera bidet II,white,https://www.thebathcollection.com/en/products/antequera-bide-suelo/,BAT_4568
,LAVOARE,DE BLAT,STONE,Striae oval,BEIGE,https://www.thebathcollection.com/en/products/striae-oval-beige/,BAT_00604
,,,,,BLACK,https://www.thebathcollection.com/en/products/striae-oval-black/,BAT_00605
,,,,Striae 39,BEIGE,https://www.thebathcollection.com/en/products/striae-square-beige/,BAT_00602
,,,,,BLACK,https://www.thebathcollection.com/en/products/striae-39-square-black/,BAT_00603
,,,,Striae,BEIGE,https://www.thebathcollection.com/en/products/striae-circular-beige/,BAT_00600
,,,,,black,https://www.thebathcollection.com/en/products/striae-circular-black/,BAT_00601
,,,,Pemba,Doreng,https://www.thebathcollection.com/en/products/pemba-doreng/#material,BAT_00643
,,,,,BEIGE,https://www.thebathcollection.com/en/products/pemba-beige/,BAT_00641
,,,,,BLACK,https://www.thebathcollection.com/en/products/black-pemba/,BAT_00642
,,,,Papua A,Doreng,https://www.thebathcollection.com/en/products/papua-a-doreng/,BAT_00620
,,,,,BEIGE,https://www.thebathcollection.com/en/products/papua-beige-2/,BAT_00619
,,,,Icono,BLACK,https://www.thebathcollection.com/en/products/icono-gris/#colocacion,BAT_00339
,,,,,BEIGE,https://www.thebathcollection.com/en/products/beige-icon/,BAT_00338
,,,,Classic Cuadrado,Grey,https://www.thebathcollection.com/en/products/classic-cuadrado-grey/,BAT_00666
,,,,,Brown Trotol,https://www.thebathcollection.com/en/products/classic-cuadrado-brown-trotol/,BAT_00667
,,,,,Pink,https://www.thebathcollection.com/en/products/classic-cuadrado-pink/,BAT_00668
,,,,Classic Rectangular,Grey,https://www.thebathcollection.com/en/products/classic-rectangular-grey/,BAT_00669
,,,,,Brown Trotol,https://www.thebathcollection.com/en/products/classic-rectangular-brown-trotol/,BAT_00670
,,,,,Pink,https://www.thebathcollection.com/en/products/classic-rectangular-pink/,BAT_00671
,,,,Classic Circular,Grey,https://www.thebathcollection.com/en/products/classic-circular-grey/,BAT_00663
,,,,,Brown Trotol,https://www.thebathcollection.com/en/products/classic-circular-brown-trotol/,BAT_00664
,,,,,Pink,https://www.thebathcollection.com/en/products/classic-circular-pink/,BAT_00665
,,,,Boracay,Beige,https://www.thebathcollection.com/en/products/boracay-beige/,BAT_00675
,,,,,Grey,https://www.thebathcollection.com/en/products/boracay-gris/,BAT_00676
,,,,Ticao Circular,BEIGE,https://www.thebathcollection.com/en/products/ticao-circular/,BAT_00655
,,,,Ticao Cuadrado,BEIGE,https://www.thebathcollection.com/en/products/ticao-cuadrado/,BAT_00656
,,,,Morella,BEIGE,https://www.thebathcollection.com/en/products/circular-morella/,BAT_00629
,,,,Morella cuadrado,BEIGE,https://www.thebathcollection.com/en/products/morella-square/,BAT_00630
,,,,Morella oval,BEIGE,https://www.thebathcollection.com/en/products/morella-oval/,BAT_00631
,,,,Papua C,Beige,https://www.thebathcollection.com/en/products/papua-c-beige/,BAT_00632
,,,,,Doreng,https://www.thebathcollection.com/en/products/papua-c-doreng/,BAT_00633
,,,,Papua,Beige,https://www.thebathcollection.com/en/products/beige-papua/,BAT_00621
,,,,,Doreng,https://www.thebathcollection.com/en/products/papua-doreng/,BAT_00622
,,,,Mimika C,Beige,https://www.thebathcollection.com/en/products/mimika-c-beige/,BAT_00636
,,,,,Doreng,https://www.thebathcollection.com/en/products/mimika-c-doreng/,BAT_00637
,,,,Mimika,Beige,https://www.thebathcollection.com/en/products/mimika-beige/,BAT_00627
,,,,,Doreng,https://www.thebathcollection.com/en/products/mimika-doreng/,BAT_00628
,,,,Mappi C,Beige,https://www.thebathcollection.com/en/products/mappi-c-beige/,BAT_00634
,,,,,Doreng,https://www.thebathcollection.com/en/products/mappi-c-doreng/,BAT_00635
,,,,Mappi,Beige,https://www.thebathcollection.com/en/products/beige-mappi/,BAT_00623
,,,,,Doreng,https://www.thebathcollection.com/en/products/mappi-doreng/,BAT_00624
,,,,Mauritius,bicolor ,https://www.thebathcollection.com/en/products/mauritius/,BAT_00386
,,,,Gorea,Doreng,https://www.thebathcollection.com/en/products/gorea-doreng/,BAT_00640
,,,,,Beige,https://www.thebathcollection.com/en/products/gorea-beige/,BAT_00638
,,,,,Dark Gray,https://www.thebathcollection.com/en/products/gray-gore/,BAT_00639
,,,,Duotono B,Beige,https://www.thebathcollection.com/en/products/duotone-b/,BAT_00365
,,,Cement,Suances,gray,https://www.thebathcollection.com/en/products/suances/,BAT_08034
,,,,Parbayón,gray,https://www.thebathcollection.com/en/products/parbayon/,BAT_08016
,,,,Parbayón terrazzo,Light terrazzo,https://www.thebathcollection.com/en/products/parbayon-terrazzo/,BAT_08015
,,,,Nestares,Tile,https://www.thebathcollection.com/en/products/nestares-teja/,BAT_08051/TJ
,,,,,Light Gray,https://www.thebathcollection.com/en/products/nestares-grisclaro/,BAT_08051/GC
,,,,,Dark Gray,https://www.thebathcollection.com/en/products/nestares-grisoscuro/,BAT_08051/GO
,,,METALIC,Detroit alto,Brushed steel,https://www.thebathcollection.com/en/products/detroit-alto-cepillado/#colocacion,BAT_8351
,,,,,Bronze,https://www.thebathcollection.com/en/products/detroit-high-bronze/,BAT_8353
,,,,,Gun Metal,https://www.thebathcollection.com/en/products/detroit-alto-gunmetal/,BAT_8352
,,,,Detroit rectangular,Brushed steel,https://www.thebathcollection.com/en/products/detroit-rectangular-cepillado/,BAT_8345
,,,,,Bronze,https://www.thebathcollection.com/en/products/detroit-rectangular-bronce/,BAT_8347
,,,,,Gun Metal,https://www.thebathcollection.com/en/products/detroit-rectangular-gunmetal/,BAT_8346
,,,,Detroit oval,Brushed steel,https://www.thebathcollection.com/en/products/detroit-oval-cepillado/,BAT_8357
,,,,,Bronze,https://www.thebathcollection.com/en/products/detroit-oval-bronze/,BAT_8359
,,,,,Gun Metal,https://www.thebathcollection.com/en/products/detroit-oval-gunmetal/,BAT_8358
,,,,Detroit cuadrado,Brushed steel,https://www.thebathcollection.com/en/products/detroit-square-brushed/,BAT_8342
