id,title,description,category,type,collection,is_new,subtype,manufacturer,catalog_id,position,sizes,thickness,material,shape
400,Tasos high,"Elevated chrome design, designed to accompany countertop washbasins. A piece that adds height and visual presence.",sanitare,BATERII,Tasos,False,DE BLAT,Bathco,,Countertop,Diameter: 50mm | High: 310mm,,Metal,
401,Tasos low,"Low version for washbasin, with chrome finish and essential design. Practical functionality in a compact format.",sanitare,BATERII,Tasos,False,DE BLAT,Bathco,,Countertop,Diameter: 50mm | High: 180mm,,Metal,
402,Milos high,"High faucet to be combined with countertop basins. Black, gun metal or bronze finish.",sanitare,BATERII,Milos,False,DE BLAT,Bathco,,Countertop,Diameter: 52mm | High: 330mm,,Metal,
403,Milos low,"Low spout basin faucet, designed for uncluttered countertops. Finished in chrome, black, gun metal or bronze.",sanitare,BATERII,Milos,False,DE BLAT,Bathco,,Countertop,Diameter: 52mm | High: 200mm,,Metal,
404,Athenas medium,Equilibrio entre proporción y practicidad. Un grifo disponible en acero pulido o negro mate que se adapta con versatilidad a distintos lavabos.,sanitare,BATERII,Athenas,False,DE BLAT,Bathco,,Countertop,Diameter: 40mm | High: 219mm,,Sanitary ware,
405,Athenas low,"Compact format for countertop sinks. Available in polished steel or matte black, it combines durability and simplicity with timeless design.",sanitare,BATERII,Athenas,False,DE BLAT,Bathco,,Countertop,Diameter: 40mm | High: 157mm,,Metal,
406,Tasos recessed,Propuesta empotrada con estética minimalista. Una opción que libera la superficie de la encimera y aporta continuidad al espacio.,sanitare,BATERII,Tasos,False,DE PERETE,Bathco,,Wall,High: 248mm,,Sanitary ware,
407,Milos recessed,"Clean line recessed lavatory faucet. Chrome, black, gun metal or bronze finish.",sanitare,BATERII,Milos,False,DE PERETE,Bathco,,Wall,Length: 210mm | Width: 100mm | High: 230mm,,Metal,
408,Athenas recessed,"Una propuesta minimalista que libera la encimera. Disponible en acero pulido, garantiza precisión y un diseño limpio.",sanitare,BATERII,Athenas,False,DE PERETE,Bathco,,Wall,Length: 130mm | Width: 58mm | High: 223mm,,Sanitary ware,
409,Athenas high,"Diseñado para lavabos de sobre encimera, disponible en acero cepillado o negro mate. Su altura estilizada aporta presencia y modernidad.",sanitare,BATERII,Athenas,False,FREESTANDING,Bathco,,Floor,Diameter: 50mm | High: 1066mm,,Sanitary ware,
