Categorie,Subcategorie,SUB-SUBCATEGORIE,Colectie,Nume produs,Nume variante/SUBTITLU,Variante culori,Link variante,COD REFERINTA,OBS,,,,,Nume produs original
PLACI CERAMICE,CONCRETE,CASALGRANDE PADANA,Elements Pebbles,Elements Pebbles Beige,,,https://www.casalgrandepadana.com/product/elements-pebbles,,"DE TRECUT IN DOWNLOAD: Bookmatch e Endmatch - unde exista ; Formats, Thicknesses, Finishes - unde exista - am incarcat cataloagele pe drive; pentru fiecare colectie care exista afisata sa fie si catalogul ei",,,,,
,,,,Elements Pebbles Black,,,,,,,,,,
,,,,Elements Pebbles Taupe,,,,,,,,,,
,,,,Elements Pebbles Tobacco,,,,,,,,,,
,,,Terrae,Terrae Beige,,,https://www.casalgrandepadana.com/product/terrae,,,,,,,
,,,,Terrae Caramel,,,,,,,,,,
,,,,Terrae Mattone,,,,,,,,,,
,,,,Terrae Tortora,,,,,,,,,,
,,,,Circle,,,,,,,,,,
,,,Metropolis,Metro Mud,,,https://www.casalgrandepadana.com/product/metropolis,,,,,,,
,,,,Metro Greige,,,,,,,,,,
,,,,Metro Grey,,,,,,,,,,
,,,,Metro Silver,,,,,,,,,,
,,,,Metropolis Mosaico Mud 5x5,,,,,,,,,,
,,,Cemento,Cemento Cassero Antracite,,,https://www.casalgrandepadana.com/product/cemento,,,,,,,
,,,,Cemento Cassero Beige,,,,,,,,,,
,,,,Cemento Cassero Bianco,,,,,,,,,,
,,,,Cemento Rasato Grigio,,,,,,,,,,
,Marble,,Marmora,Grigio Antico,,,https://www.casalgrandepadana.com/product/marmora,,,,,,,
,,,,Lunense,,,,,,,,,,
,,,,Nero Antico,,,,,,,,,,
,,,,Pavonazzetto,,,,,,,,,,
,,,,Mosaico Listelli Marmora,,,,,,,,,,
,,,Marmoker,Calacatta Extra,,,https://www.casalgrandepadana.com/product/marmoker,,,,,,,
,,,,Extra Oro,,,,,,,,,,
,,,,Deep Dark,,,,,,,,,,
,,,,Fior di Pesco,,,,,,,,,,
,,,,Grafite,,,,,,,,,,
,,,,Jolie,,,,,,,,,,
,,,,Orange Black,,,,,,,,,,
,,,,Pulpis Tortora,,,,,,,,,,
,,,,Starry Night,,,,,,,,,,
,,,,Statuario Altissimo,,,,,,,,,,
,,,,Titan White,,,,,,,,,,
,,,,Verde Aver,,,,,,,,,,
,RESIN,,Elements Texture,Texture Canvas Beige,,,https://www.casalgrandepadana.com/product/elements-texture,,,,,,,
,,,,Texture Canvas White,,,,,,,,,,
,,,,Texture Naturale Antracite,,,,,,,,,,
,,,,Texture Canvas Antracite,,,,,,,,,,
,,,,Texture Naturale Beige,,,,,,,,,,
,,,,Texture Naturale White,,,,,,,,,,
,Stone Effect,,Lithos,Lithos Beige,,,https://www.casalgrandepadana.com/product/lithos,,,,,,,
,,,,Lithos Bianco,,,,,,,,,,
,,,,Lithos Nero,,,,,,,,,,
,,,Pietra Tiburtina,Aventino Vein,,,https://www.casalgrandepadana.com/product/pietra-tiburtina,,,,,,,
,,,,Campidoglio Vein,,,,,,,,,,
,,,,Campidoglio Cross,,,,,,,,,,
,,,,Celio Vein,,,,,,,,,,
,,,,Celio Anticata Cross,,,,,,,,,,
,,,,Palatino Cross,,,,,,,,,,
,,,,Palatino Vein,,,,,,,,,,
,,,Supreme,Supreme Dark,,,https://www.casalgrandepadana.com/product/supreme,,,,,,,
,,,,Supreme Sand,,,,,,,,,,
,,,,Supreme Taupe,,,,,,,,,,
,,,,Mosaico Listelli Supreme,,,,,,,,,,
,,,Era,Era Bianca,,,https://www.casalgrandepadana.com/product/era,,,,,,,
,,,,Era Grigia,,,,,,,,,,
,,,,Era Pepe,,,,,,,,,,
,,,,Era Bruna,,,,,,,,,,
,,,,Era Crema,,,,,,,,,,
,,,,Era Perla,,,,,,,,,,
,,,,"Mosaico Listelli A (Bianca, Grigia, Pepe)",,,,,,,,,,
,,,,"Mosaico Listelli B (Perla, Crema, Bruna)",,,,,,,,,,
