id,title,description,category,type,collection,is_new,subtype,manufacturer,catalog_id,finishes,position,sizes,thickness,material,shape,cut,diameter,length,width,height
1,Elements Pebbles,"The new Elements tile collection is incredibly versatile and offers a wide range of customisation options. It’s where urban chic meets the warmth and beauty of wood for fascinating, creative compositions. Innovative combinations capture the very essence of the materials, creating new ways to imagine spaces where details can be mixed and matched to deliver an extraordinary tactile, visual and sensory experience. The three finishes of the Elements porcelain stoneware tiles can be arranged in elegant tone-on-tone or contrasting colour combinations to create smooth transitions between different areas of the home or define functional areas both indoors and outdoors.",ceramice,CONCRETE,Elements Pebbles,False,CASALGRANDE PADANA,Casalgrande Padana,,"Bocciardata R11, Natural R10",,"120 x 120 cm, 120 x 278 cm, 30 x 60 cm, 60 x 120 cm, 60 x 60 cm, 90 x 90 cm","20mm, 6mm, 9mm",Porcelain stoneware,,,,,,
2,Terrae,"Terrae combines a modern take on the classic essence of terracotta with the strength and practical appeal of latest-generation porcelain stoneware. In bright, vibrant, engaging, regenerating colours and delicate, discreet, subtle, inviting shades, strikingly decorative earthy tones are back in the forefront of interior design trends. A profound desire to reconnect with nature shapes a range of colours that embody the pleasure and the thrill of designing living spaces with a timeless charm, able to convey an immediate sensation of well-being. A warm touch that reveals the endless shades of colour offered by the pigments and precious minerals of the earth, in a porcelain stoneware collection able to capture the attention and bring a vibrant, exotic allure to settings.",ceramice,CONCRETE,Terrae,False,CASALGRANDE PADANA,Casalgrande Padana,,"Grip R11, Naturale R10 A+B PTV>36",,"120 x 120 cm, 120 x 278 cm, 20 x 20 cm, 30 x 60 cm, 60 x 120 cm, 60 x 60 cm, 8.2 x 25 cm, 90 x 90 cm","20mm, 6mm, 9mm",Porcelain stoneware,,,,,,
3,Metropolis,"The Metropolis porcelain stoneware collection Casalgrande Padana offers a new slant on the contemporary nature of concrete, creating original surfaces with a striking visual impact, able to offer designers endless potential for expression. A concrete-effect collection that goes beyond the modular tile concept, towards the design of continuous, fluid spaces, in which the ceramic tile becomes a design element that can be used for covering all kinds of surfaces, both indoors and outdoors.",ceramice,CONCRETE,Metropolis,False,CASALGRANDE PADANA,Casalgrande Padana,,"Grip R11 A+B, Matt, Natural R 10 A+B, Natural R10",,"120 x 120 cm, 120 x 278 cm, 30 x 60 cm, 45 x 90 cm, 60 x 120 cm, 60 x 60 cm, 90 x 90 cm","20mm, 6mm, 9mm",Porcelain stoneware,,,,,,
4,Cemento,"These concrete-like tiles cater to contemporary architecture and are perfect for residential, commercial, and public spaces.",ceramice,CONCRETE,Cemento,False,CASALGRANDE PADANA,Casalgrande Padana,,"Cassero R10 A+B, Natural R 10 A+B, Rasato R9 PTV>36",,"160 x 320 cm, 30 x 60 cm, 60 x 120 cm, 60 x 60 cm","12mm, 9mm",Porcelain stoneware,,,,,,
5,Marmora,"Aesthetic research, technological innovation, and sophisticated processes have made it possible to replicate the low-relief veining created over the centuries in sedimentary rocks worldwide. Marmora is the perfect combination of design and technical features: beautiful streaks filled with light and harmonious colour contrasts give life to an ideal balance of patterns and structure, evoking the finest marble nature has to offer.",ceramice,Marble,Marmora,False,CASALGRANDE PADANA,Casalgrande Padana,,"Honed, Lucida, Smooth, Vein-Touch",,"10 x 60 cm, 120 x 120 cm, 120 x 278 cm, 30 x 60 cm, 60 x 120 cm, 60 x 60 cm","6mm, 9mm",Porcelain stoneware,,,,,,
6,Marmoker,"The Marmoker collection replicates marble’s veining, shine, and beautiful colour effects, making every tile truly unique. Marmoker includes a vast selection of colours and textures, ten sizes, and three finishes, giving a contemporary edge to classic marble surfaces. These tiles with first-class technical features are a natural choice if you want to add a luxurious and elegant touch to the floors of walls of any setting.",ceramice,Marble,Marmoker,False,CASALGRANDE PADANA,Casalgrande Padana,,"Honed R10 A+B, Honed R9, Lucida",,"120 x 120 cm, 120 x 240 cm, 120 x 278 cm, 160 x 320 cm, 30 x 60 cm, 45 x 45 cm, 45 x 90 cm, 60 x 120 cm, 60 x 60 cm, 90 x 180 cm, 90 x 90 cm","10mm, 12mm, 6mm, 9mm",Porcelain stoneware,,,,,,
7,Elements Texture,"With its soft touch, the original feel and appearance of the Canvas surface, and the Canneté slatted wood option, Texture is ideal for simple, balanced spaces. It adapts easily to any style, from Art Deco inspirations to minimalist settings, and looks great in Scandinavian, classic, industrial chic or eclectic interiors.

The new Elements tile collection is incredibly versatile and offers a wide range of customisation options. It’s where urban chic meets the warmth and beauty of wood for fascinating, creative compositions. Innovative combinations capture the very essence of the materials, creating new ways to imagine spaces where details can be mixed and matched to deliver an extraordinary tactile, visual and sensory experience. The three finishes of the Elements porcelain stoneware tiles can be arranged in elegant tone-on-tone or contrasting colour combinations to create smooth transitions between different areas of the home or define functional areas both indoors and outdoors.",ceramice,RESIN,Elements Texture,False,CASALGRANDE PADANA,Casalgrande Padana,,"Canvas, Matt",,"120 x 120 cm, 120 x 278 cm, 60 x 120 cm, 60 x 60 cm","6mm, 9mm",Porcelain stoneware,,,,,,
8,Lithos,"Lithos brings a modern spin to the powerful, expressive beauty of Portland stone. Delicate shades of colour, soft cloudy effects and subtle touches of light envelop the tiles in the new Lithos collection, embellishing it with distinctive graphic details to create simple yet sophisticated surfaces able to adapt to all kinds of applications and living spaces.",ceramice,Stone Effect,Lithos,False,CASALGRANDE PADANA,Casalgrande Padana,,"Grip R11, Naturale R10 A+B PTV>36, Satin",,"120 x 120 cm, 120 x 278 cm, 30 x 60 cm, 60 x 120 cm, 60 x 60 cm, 90 x 90 cm","20mm, 6mm, 9mm",Porcelain stoneware,,,,,,
9,Pietra Tiburtina,"Precious Italian heritage full of charm and history comes to life in the porcelain stoneware tiles from the new Pietra Tiburtina collection, achieving the perfect balance between design, craftsmanship, creativity, and innovation.

Fragments of stone gush from the caves of ancient Tibur to take us on a journey through history. Ancient Romans used travertine – or lapis tiburtinus, as they used to call it – as an ornamental and construction material. Centuries later, this natural stone has maintained its unlimited potential, inspiring artists and architects of every era.

Casalgrande Padana’s new Pietra Tiburtina collection comes in both a vein-cut version, which emphasises the lengthwise layers of limestone, and a cross-cut version, with an antiqued finish also available, which highlights the subtle cloud-like effects and gives the tiles an aged flavour of times gone by. Both versions combine stone’s charm and porcelain stoneware’s sturdiness. Delicate earthy shades, beautiful streaks, and a three-dimensional play of light and shadow give these tiles a texture full of charm and elegance.",ceramice,Stone Effect,Pietra Tiburtina,False,CASALGRANDE PADANA,Casalgrande Padana,,"Grip R11 PTV>36, Matt, Rigata, Smooth",,"120 x 120 cm, 120 x 278 cm, 30 x 60 cm, 60 x 120 cm, 60 x 60 cm","20mm, 6mm, 9mm",Porcelain stoneware,,,,,,
10,Supreme,"Supreme tiles result from Casalgrande Padana’s research. They draw inspiration from rock salt crystallisation, replicating its colours, consistency, and shine. Nature’s precious masterpieces from sedimentary rocks from around the world are recreated in the porcelain stoneware tiles from the new Supreme collection. A fascinating journey to the centre of the earth to discover the colours and tactile features of rock crystal, an element used since ancient times for its many benefits.",ceramice,Stone Effect,Supreme,False,CASALGRANDE PADANA,Casalgrande Padana,,"Grip R11, Lucida, Natural R 10 A+B",,"120 x 120 cm, 120 x 278 cm, 30 x 60 cm, 60 x 120 cm, 60 x 60 cm","6mm, 9mm",Porcelain stoneware,,,,,,
