id,title,description,category,type,collection,is_new,subtype,manufacturer,catalog_id,finishes,position,sizes,thickness,material,shape,cut,diameter,length,width,height
1300,Bianco Matt,,ceramice,NICHE TILES,COLORI,False,CE.SI.,Cesi,,Matt,,"5x5 cm, 5x20 cm, 10x10 cm, 10x30 cm, 20x20 cm, 20x60 cm",,Ceramics,,,,,,
1301,Cotone Matt,,ceramice,NICHE TILES,COLORI,False,CE.SI.,Cesi,,Matt,,"5x5 cm, 5x20 cm, 10x10 cm, 10x30 cm, 20x20 cm, 20x60 cm",,Ceramics,,,,,,
1302,Canapa Matt,,ceramice,NICHE TILES,COLORI,False,CE.SI.,Cesi,,Matt,,"5x5 cm, 5x20 cm, 10x10 cm, 10x30 cm, 20x20 cm, 20x60 cm",,Ceramics,,,,,,
1303,Tortora Matt,,ceramice,NICHE TILES,COLORI,False,CE.SI.,Cesi,,Matt,,"5x5 cm, 5x20 cm, 10x10 cm, 10x30 cm, 20x20 cm, 20x60 cm",,Ceramics,,,,,,
1304,Torba Matt,,ceramice,NICHE TILES,COLORI,False,CE.SI.,Cesi,,Matt,,"5x5 cm, 5x20 cm, 10x10 cm, 20x20 cm",,Ceramics,,,,,,
1305,Nero Matt,,ceramice,NICHE TILES,COLORI,False,CE.SI.,Cesi,,Matt,,"5x5 cm, 5x20 cm, 10x10 cm, 10x30 cm, 20x20 cm, 20x60 cm",,Ceramics,,,,,,
1306,Salvia Matt,,ceramice,NICHE TILES,COLORI,False,CE.SI.,Cesi,,Matt,,"5x5 cm, 5x20 cm, 10x10 cm, 20x20 cm",,Ceramics,,,,,,
1307,Avio Matt,,ceramice,NICHE TILES,COLORI,False,CE.SI.,Cesi,,Matt,,"5x5 cm, 5x20 cm, 10x10 cm, 20x20 cm",,Ceramics,,,,,,
1308,Petrolio Lucidi,,ceramice,NICHE TILES,COLORI,False,CE.SI.,Cesi,,Lucidi,,"5x5 cm, 10x10 cm, 20x20 cm",,Ceramics,,,,,,
1309,Paprika Matt,,ceramice,NICHE TILES,COLORI,False,CE.SI.,Cesi,,Matt,,"5x5 cm, 5x20 cm, 10x10 cm, 20x20 cm",,Ceramics,,,,,,
1310,Rubino,,ceramice,NICHE TILES,COLORI,False,CE.SI.,Cesi,,Matt,,"5x5 cm, 5x20 cm, 10x10 cm, 20x20 cm",,Ceramics,,,,,,
1311,Talco,,ceramice,NICHE TILES,REVERSO,False,CE.SI.,Cesi,,Lucidi,,"7,5x15 cm, 7,5x7,5 cm",,Ceramics,,,,,,
1312,Bianco,,ceramice,NICHE TILES,REVERSO,False,CE.SI.,Cesi,,Matt,,"7,5x15 cm, 7,5x7,5 cm",,Ceramics,,,,,,
1313,Cotone,,ceramice,NICHE TILES,REVERSO,False,CE.SI.,Cesi,,Matt,,"7,5x15 cm, 7,5x7,5 cm",,Ceramics,,,,,,
1314,Nero,,ceramice,NICHE TILES,REVERSO,False,CE.SI.,Cesi,,Matt,,"7,5x15 cm, 7,5x7,5 cm",,Ceramics,,,,,,
1315,Pompelmo,,ceramice,NICHE TILES,REVERSO,False,CE.SI.,Cesi,,Matt,,"7,5x15 cm, 7,5x7,5 cm",,Ceramics,,,,,,
1316,Paprika,,ceramice,NICHE TILES,REVERSO,False,CE.SI.,Cesi,,Matt,,"7,5x15 cm, 7,5x7,5 cm",,Ceramics,,,,,,
1317,Avocado,,ceramice,NICHE TILES,REVERSO,False,CE.SI.,Cesi,,Matt,,"7,5x15 cm, 7,5x7,5 cm",,Ceramics,,,,,,
1318,Anice,,ceramice,NICHE TILES,REVERSO,False,CE.SI.,Cesi,,Matt,,"7,5x15 cm, 7,5x7,5 cm",,Ceramics,,,,,,
1319,Pioggia,,ceramice,NICHE TILES,REVERSO,False,CE.SI.,Cesi,,Matt,,"7,5x15 cm, 7,5x7,5 cm",,Ceramics,,,,,,
1320,Tratto SODIO,,ceramice,NICHE TILES,Astratto 10x10,False,CE.SI.,Cesi,,Full body,,10x10 cm,,Ceramics,,,,,,
1321,Tratto SABBIA,,ceramice,NICHE TILES,Astratto 10x10,False,CE.SI.,Cesi,,Full body,,10x10 cm,,Ceramics,,,,,,
1322,Tratto RUGGINE,,ceramice,NICHE TILES,Astratto 10x10,False,CE.SI.,Cesi,,Full body,,10x10 cm,,Ceramics,,,,,,
1323,Tratto OSSIDO,,ceramice,NICHE TILES,Astratto 10x10,False,CE.SI.,Cesi,,Full body,,10x10 cm,,Ceramics,,,,,,
1324,Tratto ACQUA,,ceramice,NICHE TILES,Astratto 10x10,False,CE.SI.,Cesi,,Full body,,10x10 cm,,Ceramics,,,,,,
1325,Tratto AGATA,,ceramice,NICHE TILES,Astratto 10x10,False,CE.SI.,Cesi,,Full body,,10x10 cm,,Ceramics,,,,,,
1326,Obliquo SODIO,,ceramice,NICHE TILES,Astratto 10x10,False,CE.SI.,Cesi,,Full body,,10x10 cm,,Ceramics,,,,,,
1327,Obliquo SABBIA,,ceramice,NICHE TILES,Astratto 10x10,False,CE.SI.,Cesi,,Full body,,10x10 cm,,Ceramics,,,,,,
1328,Obliquo RUGGINE,,ceramice,NICHE TILES,Astratto 10x10,False,CE.SI.,Cesi,,Full body,,10x10 cm,,Ceramics,,,,,,
1329,Obliquo OSSIDO,,ceramice,NICHE TILES,Astratto 10x10,False,CE.SI.,Cesi,,Full body,,10x10 cm,,Ceramics,,,,,,
1330,Obliquo ACQUA,,ceramice,NICHE TILES,Astratto 10x10,False,CE.SI.,Cesi,,Full body,,10x10 cm,,Ceramics,,,,,,
1331,Obliquo AGATA,,ceramice,NICHE TILES,Astratto 10x10,False,CE.SI.,Cesi,,Full body,,10x10 cm,,Ceramics,,,,,,
