Categorie,Subcategorie,SUB-SUBCATEGORIE,Colectie,Nume produs,Nume variante/SUBTITLU,Variante culori,Link variante,COD REFERINTA,,,,,,Nume produs original
TERRAZZO,GRANULATIE FINA,EUVAL, Standard,92.50 Carbi,,,https://euval.com/en/collections/standard/92-50-carbi/,,,,,,,
,,,,92.40 ESCO,,,https://euval.com/en/collections/standard/92-40-esco/,,,,,,,
,,,,92.60 PALMA,,,https://euval.com/en/collections/standard/92-60-palma/,,,,,,,
,,,,93.00 BONO,,,https://euval.com/en/collections/standard/93-00-bono/,,,,,,,
,,,,92.90 LEGREY,,,https://euval.com/en/collections/standard/92-90-legrey/,,,,,,,
,,,,99.70 BLAMAR,,,https://euval.com/en/collections/standard/99-70-blamar/,,,,,,,
,,,Abrasion,80.50 ALWER,,,https://euval.com/en/collections/abrasion/80-50-alwer/,,,,,,,
,,,,80.20 CARAN,,,https://euval.com/en/collections/abrasion/80-20-caran/,,,,,,,
,,,Essential ,81.30 SCHIBAS,,,https://euval.com/en/collections/essential/81-30-schibas/,,,,,,,
,,,,81.40 SANEC,,,https://euval.com/en/collections/essential/81-40-sanec/,,,,,,,
,GRANULATIE MEDIE,EUVAL,Ceppo,82.70 CEPPO 130,,,https://euval.com/en/collections/ceppo/82-70-ceppo-130/,,,,,,,
,,, Standard,90.21 BA15,,,https://euval.com/en/collections/standard/90-21-ba15/,,,,,,,
,,,,82.80 VEKRA,,,https://euval.com/en/collections/standard/82-80-vekra/,,,,,,,
,,,,94.32 VERDALP 25,,,https://euval.com/en/collections/standard/94-32-verdalp-25/,,,,,,,
,,,,99.50 BILAK,,,https://euval.com/en/collections/standard/99-50-bilak/,,,,,,,
,GRANULATIE MARE,EUVAL, Standard,90.22 BA25,,,https://euval.com/en/collections/standard/90-22-ba25/,,,,,,,
,,,,90.32 BOT25,,,https://euval.com/en/collections/standard/90-32-bot25/,,,,,,,
,,,Matheria,82.20 NAZAN,,,https://euval.com/en/collections/matheria/82-20-nazan/,,,,,,,
,,,,82.30 MEDAS,,,https://euval.com/en/collections/matheria/82-30-medas/,,,,,,,
,,,,82.60 MAVEL,,,https://euval.com/en/collections/matheria/82-60-mavel/,,,,,,,
,,,,83.10 KOREN,,,https://euval.com/en/collections/matheria/83-10-koren/,,,,,,,
,,,,83.20 TAKAI,,,https://euval.com/en/collections/matheria/83-20-takai/,,,,,,,
,,,,83.00 NUREK,,,https://euval.com/en/collections/matheria/83-00-nurek/,,,,,,,
