id,title,description,category,type,collection,is_new,subtype,manufacturer,catalog_id,finishes,position,sizes,thickness,material,shape,cut,diameter,length,width,height
1000,92.50 Carbi,White Carrara Marble Aggregate Terrazzo for Modern Style,terrazzo,GRANULATIE FINA,Standard,False,EUVAL,Euval,,"R9, R10, R11",,,,Terrazzo,,,,,,
1001,92.40 ESCO,Terrazzo with White and Ebony Marble Aggregates for Modern Design,terrazzo,GRANULATIE FINA,Standard,False,EUVAL,Euval,,"R9, R10, R11",,,,Terrazzo,,,,,,
1002,92.60 PALMA,Neutral Nuance Terrazzo for Stylish Spaces,terrazzo,GRANULATIE FINA,Standard,False,EUVAL,Euval,,"R9, R10, R11",,,,Terrazzo,,,,,,
1003,93.00 BONO,Neutral Tone Terrazzo for Contemporary Environments,terrazzo,GRANULATIE FINA,Standard,False,EUVAL,Euval,,"R9, R10, R11",,,,Terrazzo,,,,,,
1004,92.90 LEGREY,Pearl Grey Terrazzo for Modern Living Spaces,terrazzo,GRANULATIE FINA,Standard,False,EUVAL,Euval,,"R9, R10, R11",,,,Terrazzo,,,,,,
1005,99.70 BLAMAR,Refined Terrazzo with Black Marble Aggregates on an Ash-Colored Base,terrazzo,GRANULATIE FINA,Standard,False,EUVAL,Euval,,"R9, R10, R11",,,,Terrazzo,,,,,,
1006,80.50 ALWER,Green Shade Terrazzo for Warm-Toned Combinations,terrazzo,GRANULATIE FINA,Abrasion,False,EUVAL,Euval,,"R9, R10, R11",,,,Terrazzo,,,,,,
1007,80.20 CARAN,Anthracite-Colored Marble Aggregate Terrazzo for Sophisticated Style,terrazzo,GRANULATIE FINA,Abrasion,False,EUVAL,Euval,,"R9, R10, R11",,,,Terrazzo,,,,,,
1008,81.30 SCHIBAS,White and Beige Marble aggregates Terrazzo for Commercial Stairs and Floors,terrazzo,GRANULATIE FINA,Essential,False,EUVAL,Euval,,"R9, R10, R11",,,,Terrazzo,,,,,,
1009,81.40 SANEC,Warm Toned Terrazzo for a Sophisticated Look,terrazzo,GRANULATIE FINA,Essential,False,EUVAL,Euval,,"R9, R10, R11",,,,Terrazzo,,,,,,
1010,82.70 CEPPO 130,"Neutral Palette Terrazzo with Intriguing Texture

a terrazzo realized with grits of a natural agglomerate that leads the user through a unique and boundless journey. Nature has skillfully composed a material with taupe shades, where you can find ebony, cream, jasper red and deep green accents.

In a neural colour scale, we find different nuances and textures that make the material one of a kind. 82.70 Ceppo 130 is an innovative terrazzo with high technical performance. A refine material that finds its distinctive element in the diversity of grits with which it is composed.

Each and every piece tells a different story.",terrazzo,GRANULATIE MEDIE,Ceppo,False,EUVAL,Euval,,"R9, R10, R11",,,,Terrazzo,,,,,,
1011,90.21 BA15,Terrazzo with Warm Tone Marble Aggregates for Elegant Spaces,terrazzo,GRANULATIE MEDIE,Standard,False,EUVAL,Euval,,"R9, R10, R11",,,,Terrazzo,,,,,,
1012,82.80 VEKRA,"Terrazzo with Green, Ochre, and Red Aggregates on Ivory Background",terrazzo,GRANULATIE MEDIE,Standard,False,EUVAL,Euval,,"R9, R10, R11",,,,Terrazzo,,,,,,
1013,94.32 VERDALP 25,Green Shade Terrazzo for Nature-Inspired Rooms,terrazzo,GRANULATIE MEDIE,Standard,False,EUVAL,Euval,,"R9,R10, R11",,,,Terrazzo,,,,,,
1014,99.50 BILAK,Anthracite Terrazzo for Contemporary Design Spaces,terrazzo,GRANULATIE MEDIE,Standard,False,EUVAL,Euval,,"R9, R10 , R11",,,,Terrazzo,,,,,,
1015,90.22 BA25,Neutral Toned Terrazzo for Bright Spaces,terrazzo,GRANULATIE MARE,Standard,False,EUVAL,Euval,,"R9, R10, R10",,,,Terrazzo,,,,,,
1016,90.32 BOT25,Terrazzo with Warm Toned Marble Aggregates for Sophisticated Environments,terrazzo,GRANULATIE MARE,Standard,False,EUVAL,Euval,,"R9, R10, R11",,,,Terrazzo,,,,,,
1017,82.20 NAZAN,Light Grey Terrazzo for Elegant and Stylish Spaces,terrazzo,GRANULATIE MARE,Matheria,False,EUVAL,Euval,,"R9, R10, R11",,,,Terrazzo,,,,,,
1018,82.30 MEDAS,Dark Green and Dove Grey Marble Aggregates Terrazzo for Eco-Friendly Spaces,terrazzo,GRANULATIE MARE,Matheria,False,EUVAL,Euval,,"R9, R10, R11",,,,Terrazzo,,,,,,
1019,82.60 MAVEL,Black and White Marble Aggregate Terrazzo for Refined Designs,terrazzo,GRANULATIE MARE,Matheria,False,EUVAL,Euval,,"R9, R10, R11",,,,Terrazzo,,,,,,
1020,83.10 KOREN,Terrazzo with a composition of marble aggregates in warm and refined tones,terrazzo,GRANULATIE MARE,Matheria,False,EUVAL,Euval,,"R9, R10, R11",,,,Terrazzo,,,,,,
1021,83.20 TAKAI,"Elegant terrazzo with ice white, silver grey, and anthracite marble aggregates, perfect for contemporary projects",terrazzo,GRANULATIE MARE,Matheria,False,EUVAL,Euval,,"R9, R10, R11",,,,Terrazzo,,,,,,
1022,83.00 NUREK,"Vibrant and sophisticated terrazzo, ideal for spaces full of character",terrazzo,GRANULATIE MARE,Matheria,False,EUVAL,Euval,,"R9, R10, R11",,,,Terrazzo,,,,,,
