Categorie,Subcategorie,SUB-SUBCATEGORIE,Colectie,Nume produs,Nume variante/subtitlu,Variante culori,Link variante,COD REFERINTA,obs,,,,
SANITARE,BATERII,DE BLAT,Davide Mercatali,Nostromo - Baterie joasă,,chrome,https://www.fantini.it/en-us/product/49-3864-5002e904wu,FAN_5002E904WU,,,,,
,,,,,,Matte Black,https://www.fantini.it/en-us/product/49-3864-5013e904wu,FAN_5013E904WU,,,,,
,,,,,,Matte White,https://www.fantini.it/en-us/product/49-3864-5029e904wu,FAN_5029E904WU,,,,,
,,,,,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/49-3864-50p5e904wu,50P5E904WU,,,,,
,,,,,,Matte British Gold PVD,https://www.fantini.it/en-us/product/49-3864-50p6e904wu,50P6E904WU,,,,,
,,,,,,Matte Copper PVD,https://www.fantini.it/en-us/product/49-3864-50p9e904wu,50P9E904WU,,,,,
,,,,,,Deep Black PVD,https://www.fantini.it/en-us/product/49-3864-50s1e904wu,50S1E904WU,,,,,
,,,,,,Pure Brass PVD,https://www.fantini.it/en-us/product/49-3864-50q7e904wu,50Q7E904WU,,,,,
,,,,,,Raw Metal PVD,https://www.fantini.it/en-us/product/49-3864-50q8e904wu,50Q8E904WU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/49-3864-5093e904wu,5093E904WU,,,,,
,,,,Nostromo - Baterie înaltă ,,chrome,https://www.fantini.it/en-us/product/49-4209-5002e906wu,5002E906WU,,,,,
,,,,,,Matte Black,https://www.fantini.it/en-us/product/49-4209-5013e906wu,5013E906WU,,,,,
,,,,,,Matte White,https://www.fantini.it/en-us/product/49-4209-5029e906wu,5029E906WU,,,,,
,,,,,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/49-4209-50p5e906wu,50P5E906WU,,,,,
,,,,,,Matte British Gold PVD,https://www.fantini.it/en-us/product/49-4209-50p6e906wu,50P6E906WU,,,,,
,,,,,,Matte Copper PVD,https://www.fantini.it/en-us/product/49-4209-50p9e906wu,50P9E906WU,,,,,
