Categorie,Subcategorie,SUB-SUBCATEGORIE,Colectie,Nume produs,Nume variante/subtitlu,Variante culori,Link variante,COD REFERINTA,obs,Articole complementare necesare
SANITARE,BATERII,DE BLAT,CleoSteel 48,"
CleoSteel - Baterie joasă",,Stainless Steel,https://www.fir-italia.it/eng/products_4811303_wash-basin-mixer-189-mm-high-center-distance-145-mm-long-with-clicclac-pop-up-drain,48.1130.3,,
,,,,CleoSteel - Baterie înaltă ,,Stainless Steel,https://www.fir-italia.it/eng/products_4811403_wash-basin-mixer-340-mm-high-center-distance-145-mm-long-with-clicclac-pop-up-drain,48.1140.3,,
,,,,CleoSteel - Pipă de blat,,Stainless Steel,https://www.fir-italia.it/eng/products_4841214_deck-mounted-water-spout-center-distance-150-mm-longenbsp233-mm-high,48.4121.4,,
,,,,CleoSteel - Mixer de blat,,Stainless Steel,https://www.fir-italia.it/eng/products_4851050_deck-mounted-mixer-for-water-spout,48.5105.0,,
,,DE PERETE,CleoSteel 48,CleoSteel - Baterie încastrată I,,Stainless Steel,https://www.fir-italia.it/eng/products_4818268_external-part-for-wall-mounted-built-in-basin-mixer-208-mm-long-center-distance-200enbspmm-long,48.1826.8,,Art. 0580350 : Piesă încorporată pentru baterie de lavoar cu montare pe perete
,,,,CleoSteel - Mixer de perete,,Stainless Steel,https://www.fir-italia.it/eng/products_4850109_wall-mounted-built-in-mixer,48.5010.9,,
,,,,CleoSteel - Baterie încastrată II,,Stainless Steel,https://www.fir-italia.it/eng/products_4810208_external-part-for-wall-mounted-built-in-basin-mixer-with-plate-210-mm-long-center-distance-200-mm-long,48.1020.8,,Art. 0510000 : Sistem încorporat universal FirUnico
,,FREESTANDING,CleoSteel 48,CleoSteel - Baterie înaltă freestanding,,Stainless Steel,https://www.fir-italia.it/eng/products_4813008_external-part-for-floor-mounted-wash-basin-mixer-1123-mm-high-center-distance-250-mm-long,48.1300.8,,Art. 0521474 : Piesă încorporată pentru mixer din oțel inoxidabil cu montare pe podea
,,,,CleoSteel - Pipă înaltă freestanding,,Stainless Steel,https://www.fir-italia.it/eng/products_4843004_floor-mounted-water-spout-12e39e39-center-distance-250-mm-long-1145-mm-high,48.4300.4,"in combinatie neaparata cu urmatoarele produse: 48.5105.0, 48.5010.9",Art. 0521474 : Piesă încorporată pentru mixer din oțel inoxidabil cu montare pe podea
,,CADA,CleoSteel 48,CleoSteel - Baterie înaltă freestanding cu duș,,Stainless Steel,https://www.fir-italia.it/eng/products_4833008_external-part-for-floor-mounted-bath-mixer-with-shower-set,48.3300.8,,
,,DE TAVAN,CleoSteel 48,CleoSteel - Pipă de tavan,,Stainless Steel,https://www.fir-italia.it/eng/products_4842004_ceiling-mounted-water-spout-12e39e39-1600-mm-long,48.4200.4,"in combinatie neaparata cu urmatoarele produse: 48.5105.0, 48.5010.9",
