id,product_id,pdf_id,sort_order,created_at
1,1200,1,0,2026-05-10 16:40:50
2,1200,2,1,2026-05-10 16:40:50
3,1200,3,2,2026-05-10 16:40:50
4,1200,4,3,2026-05-10 16:40:50
5,1201,5,0,2026-05-10 16:40:50
6,1201,6,1,2026-05-10 16:40:50
7,1201,3,2,2026-05-10 16:40:50
8,1201,4,3,2026-05-10 16:40:50
9,1202,7,0,2026-05-10 16:40:50
10,1202,8,1,2026-05-10 16:40:50
11,1202,4,2,2026-05-10 16:40:50
12,1203,9,0,2026-05-10 16:40:50
13,1203,10,1,2026-05-10 16:40:50
14,1203,4,2,2026-05-10 16:40:50
15,1204,11,0,2026-05-10 16:40:50
16,1204,12,1,2026-05-10 16:40:50
17,1204,13,2,2026-05-10 16:40:50
18,1204,4,3,2026-05-10 16:40:50
19,1205,14,0,2026-05-10 16:40:50
20,1205,15,1,2026-05-10 16:40:50
21,1205,4,2,2026-05-10 16:40:50
22,1206,16,0,2026-05-10 16:40:50
23,1206,17,1,2026-05-10 16:40:50
24,1206,18,2,2026-05-10 16:40:50
25,1206,4,3,2026-05-10 16:40:50
26,1207,19,0,2026-05-10 16:40:50
27,1207,20,1,2026-05-10 16:40:50
28,1207,4,2,2026-05-10 16:40:50
29,1208,21,0,2026-05-10 16:40:50
30,1208,22,1,2026-05-10 16:40:50
31,1208,23,2,2026-05-10 16:40:50
32,1208,4,3,2026-05-10 16:40:50
33,1209,24,0,2026-05-10 16:40:50
34,1209,25,1,2026-05-10 16:40:50
35,1209,4,2,2026-05-10 16:40:50
36,1210,26,0,2026-05-10 16:40:50
37,1210,27,1,2026-05-10 16:40:50
38,1210,4,2,2026-05-10 16:40:50
