Categorie,Subcategorie,SUB-SUBCATEGORIE,Colectie,Nume produs,Nume variante/SUBTITLU,Variante culori,Link variante,COD REFERINTA,OBSERVATII,,,,,Nume produs original
MOBILIER,MESE,,FONDOVALLE,Blunt medium & small,,,https://fondovalle.it/en/products/shape/blunt-medium-small/,,PAGINA FINALA CU PRODUSUL TREBUIE SA FIE O COPIE FONDOVALLE DAR PUSA PE STRUCTURA ALTRO. TREBUIE SA DISCUTAM AICI. TREBUIE SA APARA VARIANTELE DE TABLETOP CA LA FONDOVALLE - POZA CU TEXT SUB - LINK SPRE PLACILE CERAMICE CA SA LE VEZI SI IN FORMAT MARE - IDEAL E SA POTI SA CONFIGUREZI SI PRODUSUL (CHIAR DACA NU SE SCHIMBA IMAGINEA MOMENTAN) SI SA AJUNGA MAIL LA NOI CU DATELE PRODUSULUI CONFIGURAT - BORDERS; STRUCTURES; TABLETOP; DIMENSION,,,,,
,,,,Blunt ext,,,https://fondovalle.it/en/products/shape/blunt-ext/,,,,,,,
,,,,Plana,,,https://fondovalle.it/en/products/shape/plana/,,,,,,,
,,,,Plana ext,,,https://fondovalle.it/en/products/shape/plana-ext/,,,,,,,
,,,,Side round,,,https://fondovalle.it/en/products/shape/side-round/,,,,,,,
,,,,Side rectangular,,,https://fondovalle.it/en/products/shape/side-rectangular/,,,,,,,
,,,,Side square,,,https://fondovalle.it/en/products/shape/side-square/,,,,,,,
,,,,Raki,,,https://fondovalle.it/en/products/shape/raki/,,,,,,,
,,,,Raki round,,,https://fondovalle.it/en/products/shape/raki-round/,,,,,,,
,,,,My Contract,RING,,https://fondovalle.it/en/products/shape/my-contract/,,,,,,,
,,,,,CONE,,,,,,,,,
,,,,,TUBE,,,,,,,,,
,,,,,SQUARE,,,,,,,,,
