id,title,description,category,type,collection,is_new,subtype,manufacturer,catalog_id,finishes,position,sizes,thickness,material,shape,cut,diameter,length,width,height
700,Blunt medium & small,,mobilier,MESE,FONDOVALLE,False,,Fondovalle,,,,,,,,,,,,
701,Blunt ext,,mobilier,MESE,FONDOVALLE,False,,Fondovalle,,,,,,,,,,,,
702,Plana,,mobilier,MESE,FONDOVALLE,False,,Fondovalle,,,,,,,,,,,,
703,Plana ext,,mobilier,MESE,FONDOVALLE,False,,Fondovalle,,,,,,,,,,,,
704,Side round,,mobilier,MESE,FONDOVALLE,False,,Fondovalle,,,,,,,,,,,,
705,Side rectangular,,mobilier,MESE,FONDOVALLE,False,,Fondovalle,,,,,,,,,,,,
706,Side square,,mobilier,MESE,FONDOVALLE,False,,Fondovalle,,,,,,,,,,,,
707,Raki,,mobilier,MESE,FONDOVALLE,False,,Fondovalle,,,,,,,,,,,,
708,Raki round,,mobilier,MESE,FONDOVALLE,False,,Fondovalle,,,,,,,,,,,,
709,My Contract,,mobilier,MESE,FONDOVALLE,False,,Fondovalle,,,,,,,,,,,,
