Categorie,Subcategorie,SUB-SUBCATEGORIE,Colectie,Nume produs,Nume variante,Variante culori,Link variante,COD REFERINTA,obs
MOBILIER,EXTERIOR,FOTOLII,Mieke,1-seater Mieke,,,https://gommaire.com/product/1-seater-mieke,GOM_5415308036425,
,,,Mario,1-seater Mario,,,https://gommaire.com/product/1-seater-mario,GOM_5415308030591,
,,,Copenhague,1-seater Copenhague,,,https://gommaire.com/product/1-seater-copenhague,GOM_5415308000563,
,,,Sachin,Easy chair Sachin,,,https://gommaire.com/product/easy-chair-sachin,GOM_5415308201724,
,,,,Footrest Sachin,,,https://gommaire.com/product/footrest-sachin,GOM_5415308201151,
,,CANAPELE,Edge,Sofa Edge,,,https://gommaire.com/product/sofa-edge,GOM_5415308020714,
,,,Magnus,Lounge Magnus,,,https://gommaire.com/product/lounge-magnus,GOM_5415308015659,
,,,,Ottoman Magnus,,,https://gommaire.com/product/ottoman-magnus,GOM_5415308015635,
,,SCAUNE,Fiona,Easy Chair Fiona,,,https://gommaire.com/product/easy-chair-fiona,GOM_5415308020752,
,,,,Chair Fiona,,,https://gommaire.com/product/chair-fiona,GOM_5415308020738,
,,,Faye,Armchair Faye,,,https://gommaire.com/product/armchair-faye,GOM_5415308181743,
,,,,Easy chair Faye I,,,https://gommaire.com/product/easy-chair-faye,GOM_5415308181767,
,,,,Easy chair Faye II,,,https://gommaire.com/product/easy-chair-faye-emas-brown,GOM_5415308201557,
,,,Asti,Stool Asti,,,https://gommaire.com/product/stool-asti-1,GOM_5415308181903,
,,,,Bar Stool Asti,,,https://gommaire.com/product/bar-stool-asti-1,GOM_5415308182801,
,,MESE,Faye,Low Dining Round Table Faye XL,,,https://gommaire.com/product/low-dining-round-table-faye-xl,GOM_5415308182740,
,,,Imen,Dining Oval Table Imen,,TEAK NATURAL GREY,https://gommaire.com/product/dining-oval-table-imen,GOM_5415308201120,
,,,,,,TEAK WOODSTAIN EMAS BROWN,https://gommaire.com/product/dining-oval-table-imen-1,GOM_5415308201106,
,,,Alexi,Bar Table Alexi Large,,,https://gommaire.com/product/bar-table-alexi-large,GOM_5415308016885,
,,Sezlonguri,Edge,Sunbed Edge,,,https://gommaire.com/product/sunbed-edge-1,GOM_5415308181798,
,,,Lisa,Sunlounger Lisa Incl. Wheels,,,https://gommaire.com/product/sunlounger-lisa-incl-wheels,GOM_5415308001805,
,,,,Double Sunlounger Lisa Incl. Wheels,,,https://gommaire.com/product/double-sunlounger-lisa-incl-wheels,GOM_5415308036746,
,,Masuțe de cafea,Dovetail,Coffee Table Dovetail,,,https://gommaire.com/product/coffee-table-dovetail,GOM_5415308000617,
,,,,Coffee Table Floor set of 3,,,https://gommaire.com/product/coffee-table-floor-set-of-3,GOM_5415308020622,
,,,Jacoba,Coffee Table Jacoba,,,https://gommaire.com/product/coffee-table-jacoba,GOM_5415308182788,
