id,title,description,category,type,collection,is_new,subtype,manufacturer,catalog_id,finishes,position,sizes,thickness,material,shape,cut,diameter,length,width,height
2200,1-seater Mieke,,mobilier,EXTERIOR,Mieke,False,FOTOLII,Gommaire,,,,"W80 X D83,5 X H68 CM",,TEAK NATURAL GREY + PE WICKER SAND,,,,,,
2201,1-seater Mario,,mobilier,EXTERIOR,Mario,False,FOTOLII,Gommaire,,,,W78 X D71 X H75 CM,,TEAK NATURAL GREY + ROPE,,,,,,
2202,1-seater Copenhague,,mobilier,EXTERIOR,Copenhague,False,FOTOLII,Gommaire,,,,W90 X D85 X H65 CM,,TEAK NATURAL GREY,,,,,,
2203,Easy chair Sachin,,mobilier,EXTERIOR,Sachin,False,FOTOLII,Gommaire,,,,"W60 X D94 X H97,5 CM",,TEAK NATURAL GREY,,,,,,
2204,Footrest Sachin,,mobilier,EXTERIOR,Sachin,False,FOTOLII,Gommaire,,,,W60 X D55 X H35 CM,,TEAK NATURAL GREY,,,,,,
2205,Sofa Edge,,mobilier,EXTERIOR,Edge,False,CANAPELE,Gommaire,,,,W240 X D100 X H70 CM,,TEAK NATURAL GREY + PE WICKER ANTIQUE WEED,,,,,,
2206,Lounge Magnus,,mobilier,EXTERIOR,Magnus,False,CANAPELE,Gommaire,,,,W220 X D105 X H57 CM + W180 X D95 X H17 CM,,TEAK NATURAL GREY,,,,,,
2207,Ottoman Magnus,,mobilier,EXTERIOR,Magnus,False,CANAPELE,Gommaire,,,,W105 X D105 X H20,,TEAK NATURAL GREY,,,,,,
2208,Easy Chair Fiona,,mobilier,EXTERIOR,Fiona,False,SCAUNE,Gommaire,,,,W60 X D66 X H67 CM,,TEAK NATURAL GREY + PE WICKER ANTIQUE WEED,,,,,,
2209,Chair Fiona,,mobilier,EXTERIOR,Fiona,False,SCAUNE,Gommaire,,,,W47 X D60 X H83 CM,,TEAK NATURAL GREY + PE WICKER ANTIQUE WEED,,,,,,
2210,Armchair Faye,,mobilier,EXTERIOR,Faye,False,SCAUNE,Gommaire,,,,W56 X D56 X H76 CM,,TEAK NATURAL GREY,,,,,,
2211,Easy chair Faye I,,mobilier,EXTERIOR,Faye,False,SCAUNE,Gommaire,,,,W66 X D66 X H68 CM,,TEAK NATURAL GREY,,,,,,
2212,Easy chair Faye II,,mobilier,EXTERIOR,Faye,False,SCAUNE,Gommaire,,,,W66 X D66 X H68 CM,,TEAK WOODSTAIN EMAS BROWN,,,,,,
2213,Stool Asti,,mobilier,EXTERIOR,Asti,False,SCAUNE,Gommaire,,,,Ø35 X H46 CM,,TEAK NATURAL GREY,,,35 cm,,,
2214,Bar Stool Asti,,mobilier,EXTERIOR,Asti,False,SCAUNE,Gommaire,,,,Ø35 X H66 CM,,TEAK NATURAL GREY,,,35 cm,,,
2215,Low Dining Round Table Faye XL,,mobilier,EXTERIOR,Faye,False,MESE,Gommaire,,,,Ø170 X H69 CM,,teak natural grey,,,170 cm,,,
2216,Dining Oval Table Imen,,mobilier,EXTERIOR,Imen,False,MESE,Gommaire,,"TEAK NATURAL GREY, TEAK WOODSTAIN EMAS BROWN",,L300 X W130 X H76 CM,,,,,,,,
2217,Bar Table Alexi Large,,mobilier,EXTERIOR,Alexi,False,MESE,Gommaire,,,,L310 X W80 X H95 CM,,Teak Natural Grey,,,,,,
2218,Sunbed Edge,,mobilier,EXTERIOR,Edge,False,Sezlonguri,Gommaire,,,,L200 X W85 X H22 CM,,TEAK NATURAL GREY,,,,,,
2219,Sunlounger Lisa Incl. Wheels,,mobilier,EXTERIOR,Lisa,False,Sezlonguri,Gommaire,,,,L209 X W66 X H35 CM,,TEAK NATURAL GREY + PE WICKER ANTIQUE WEED,,,,,,
2220,Double Sunlounger Lisa Incl. Wheels,,mobilier,EXTERIOR,Lisa,False,Sezlonguri,Gommaire,,,,L210 X W132 X H35 CM,,TEAK NATURAL GREY + PE WICKER ANTIQUE WEED,,,,,,
2221,Coffee Table Dovetail,,mobilier,EXTERIOR,Dovetail,False,Masuțe de cafea,Gommaire,,,,L150 X W65 X H35 CM,,teak natural grey,,,,,,
2222,Coffee Table Floor set of 3,,mobilier,EXTERIOR,Dovetail,False,Masuțe de cafea,Gommaire,,,,Ø50 X H33 CM / Ø65 X H37 CM / Ø80 X H42 CM,,teak natural grey,,,50 cm,,,
2223,Coffee Table Jacoba,,mobilier,EXTERIOR,Jacoba,False,Masuțe de cafea,Gommaire,,,,L180 X W82 X H32 CM,,teak natural grey,,,,,,
2224,Coffee Table/ Sunbed Edge,,mobilier,EXTERIOR,Edge,False,Masuțe de cafea,Gommaire,,,,L200 X W85 X H22 CM,,teak natural grey,,,,,,
2225,Armchair Faye Upholstered,,mobilier,INTERIOR,Faye,False,SCAUNE,Gommaire,,,,W57 X D58 X H76 CM,,reclaimed wood original aged patine,,,,,,
2226,Table Sylvia,,mobilier,INTERIOR,Sylvia,False,MESE,Gommaire,,,,L320 X W110 X H76 CM,,Oak with clear protection,,,,,,
2227,Table Archie Small,,mobilier,INTERIOR,Archie,False,MESE,Gommaire,,,,L240 X W88 X H75 CM,,reclaimed wood original aged patine,,,,,,
2228,Round Table Vincent,,mobilier,INTERIOR,Vincent,False,MESE,Gommaire,,,,Ø160 XH76 CM,,Oak with clear protection,,,160 cm,,,
2229,Bench Drake,,mobilier,INTERIOR,Drake,False,BANCHETE,Gommaire,,,,L250 X W40 X H46 CM,,Oak with clear protection,,,,,,
2230,Coffee Table Day Large,,mobilier,INTERIOR,Day,False,Masuțe de cafea,Gommaire,,,,Ø142 X H32 CM,,oak with clear protection,,,142 cm,,,
2231,Rectangular Coffee Table Rowan,,mobilier,INTERIOR,Rowan,False,Masuțe de cafea,Gommaire,,,,L160 X W80 X H32 CM,,oak with clear protection,,,,,,
2232,Round Side Table Phil,,mobilier,INTERIOR,Phil,False,Masuțe de cafea,Gommaire,,"Large, Medium, Small",,Ø50 X H45 CM | Ø65 X H30 CM | Ø80 X H38 CM,,Reclaimed teak authentic brown,,,,,,
