Categorie,Subcategorie,SUB-SUBCATEGORIE,Colectie,Nume produs,Nume variante/SUBTITLU,Variante culori,Link variante,COD REFERINTA,,,,,,Nume produs original
TERRAZZO,GRANULATIE FINA,,Terrazzo,76 Rosso Diavolo,,,https://www.grandinetti.it/en/prodotto/76-rosso-diavolo/,,,,,,,
,,,Terrazzo,78 Bianco,,,https://www.grandinetti.it/en/prodotto/78-bianco/,,,,,,,
,,,Terrazzo,80 Salmone,,,https://www.grandinetti.it/en/prodotto/80-salmone/,,,,,,,
,,,Terrazzo,86 Nero grigio,,,https://www.grandinetti.it/en/prodotto/86-nero-grigio/,,,,,,,
,,,Terrazzo,89 Rosa antico,,,https://www.grandinetti.it/en/prodotto/89-rosa-antico/,,,,,,,
,,,Terrazzo,96 Vecchia graniglia,,,https://www.grandinetti.it/en/prodotto/96-vecchia-graniglia/,,,,,,,
,,,Terrazzo,97 Laguna,,,https://www.grandinetti.it/en/prodotto/97-laguna/,,,,,,,
,,,Terrazzo,108 Minestrone,,,https://www.grandinetti.it/en/prodotto/108-minestrone/,,,,,,,
,,,Terrazzo,111 Botticino,,,https://www.grandinetti.it/en/prodotto/111-botticino/,,,,,,,
,,,Terrazzo,118 Bianconera,,,https://www.grandinetti.it/en/prodotto/118-bianconera/,,,,,,,
,,,Terrazzo,117 Minestrone primavera,,,https://www.grandinetti.it/en/prodotto/117-minestrone-primavera/,,,,,,,
,,,Terrazzo,120 Geretto,,,https://www.grandinetti.it/en/prodotto/120-geretto/,,,,,,,
,,,Out of catalog,1C3,,,https://www.grandinetti.it/en/prodotto/1c3/,,,,,,,
,,,Out of catalog,4B6,,,https://www.grandinetti.it/en/prodotto/4b6/,,,,,,,
,,,Out of catalog,4C2,,,https://www.grandinetti.it/en/prodotto/4c2/,,,,,,,
,,,Out of catalog,5B1,,,https://www.grandinetti.it/en/prodotto/5b1/,,,,,,,
,,,Out of catalog,5C6,,,https://www.grandinetti.it/en/prodotto/5c6/,,,,,,,
,,,Out of catalog,5D3,,,https://www.grandinetti.it/en/prodotto/5d3/,,,,,,,
