id,title,description,category,type,collection,is_new,subtype,manufacturer,catalog_id,finishes,position,sizes,thickness,material,shape,cut,diameter,length,width,height
500,76 Rosso Diavolo,,terrazzo,GRANULATIE FINA,Terrazzo,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x8 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 1.5 cm, 2 cm, 3 cm",,,,,,,
501,78 Bianco,,terrazzo,GRANULATIE FINA,Terrazzo,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x8 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 1.5 cm, 2 cm, 3 cm",,,,,,,
502,80 Salmone,,terrazzo,GRANULATIE FINA,Terrazzo,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x8 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 1.5 cm, 2 cm, 3 cm",,,,,,,
503,86 Nero grigio,,terrazzo,GRANULATIE FINA,Terrazzo,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x8 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 1.5 cm, 2 cm, 3 cm",,,,,,,
504,89 Rosa antico,,terrazzo,GRANULATIE FINA,Terrazzo,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x8 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 1.5 cm, 2 cm, 3 cm",,,,,,,
505,96 Vecchia graniglia,,terrazzo,GRANULATIE FINA,Terrazzo,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x8 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 1.5 cm, 2 cm, 3 cm",,,,,,,
506,97 Laguna,,terrazzo,GRANULATIE FINA,Terrazzo,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x8 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 1.5 cm, 2 cm, 3 cm",,,,,,,
507,108 Minestrone,,terrazzo,GRANULATIE FINA,Terrazzo,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x8 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 1.5 cm, 2 cm, 3 cm",,,,,,,
508,111 Botticino,,terrazzo,GRANULATIE FINA,Terrazzo,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x8 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 1.5 cm, 2 cm, 3 cm",,,,,,,
509,118 Bianconera,,terrazzo,GRANULATIE FINA,Terrazzo,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x8 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 1.5 cm, 2 cm, 3 cm",,,,,,,
