Categorie,Subcategorie,SUB-SUBCATEGORIE,Colectie,Nume produs,Nume variante,Variante culori,Link variante,COD REFERINTA,obs
SANITARE,VASE DE TOALETA,CU PICIOR,Petra,Petra - Vas de toaletă cu picior,,Bianco lucido cod.000,https://www.ceramicagsg.it/en/products/petra-collection/petra-back-to-wall/back-to-wall-wc/,PEWC01EC - 000,
,,,,,,Bianco matt cod.001,,PEWC01 - 001,
,,,,,,Nero matt cod.003,,PEWC01 - 003,
,,,,,,Pergamon cod.013,,PEWC01 - 013,
,,,,,,Denim satinato cod.027,,PEWC01 - 027,
,,,,,,Cashmere satinato cod.030,,PEWC01 - 030,
,,,,,,Salvia satinato cod.031,,PEWC01 - 031,
,,,,,,Cipria satinato cod.032,,PEWC01 - 032,
,,,,,,Bicolore pergamon lucido,,PEWC01EC - BI - 000 - 013,
,,,,,,Bicolore denim satinato,,PEWC01EC - BI - 000 - 027,
,,,,,,Bicolore cipria satinato,,PEWC01EC - BI - 000 - 032,
,,SUSPENDATE,,Petra - Vas de toaletă suspendat,,Bianco lucido cod.000,https://www.ceramicagsg.it/en/products/petra-collection/petra-wall-hung/wall-hung-wc-3/,PEWCSOEC - 000,
,,,,,,Bianco matt cod.001,,PEWCSOEC - 001,
,,,,,,Nero matt cod.003,,PEWCSOEC - 003,
,,,,,,Pergamon cod.013,,PEWCSOEC - 013,
,,,,,,Denim satinato cod.027,,PEWCSOEC - 027,
,,,,,,Cashmere satinato cod.030,,PEWCSOEC - 030,
,,,,,,Salvia satinato cod.031,,PEWCSOEC - 031,
,,,,,,Cipria satinato cod.032,,PEWCSOEC - 032,
,,,,,,Bicolore pergamon lucido,,PEWCSOEC - BI - 000 - 013,
,,,,,,Bicolore denim satinato,,PEWCSOEC - BI - 000 - 027,
,,,,,,Bicolore cipria satinato,,PEWCSOEC - BI - 000 - 032,
,BIDEURI,CU PICIOR,,Petra - Bideu cu picior,,Bianco lucido cod.000,https://www.ceramicagsg.it/en/products/petra-collection/petra-back-to-wall/back-to-wall-bidet/,PEBI01 - 000,
,,,,,,Bianco matt cod.001,,PEBI01 - 001,
,,,,,,Nero matt cod.003,,PEBI01 - 003,
,,,,,,Pergamon cod.013,,PEBI01 - 013,
,,,,,,Denim satinato cod.027,,PEBI01 - 027,
,,,,,,Cashmere satinato cod.030,,PEBI01 - 030,
,,,,,,Salvia satinato cod.031,,PEBI01 - 031,
,,,,,,Cipria satinato cod.032,,PEBI01 - 032,
,,,,,,Bicolore pergamon lucido,,PEBI01 - BI - 000 - 013,
,,,,,,Bicolore denim satinato,,,
,,,,,,Bicolore cipria satinato,,PEBI01 - BI - 000 - 032,
,,SUSPENDATE,,Petra - Bideu suspendat,,Bianco lucido cod.000,https://www.ceramicagsg.it/en/products/petra-collection/petra-wall-hung/wall-hung-bidet-2/,PEBISO - 000,
,,,,,,Bianco matt cod.001,,PEBISO - 001,
,,,,,,Nero matt cod.003,,PEBISO - 003,
,,,,,,Pergamon cod.013,,PEBISO - 013,
,,,,,,Denim satinato cod.027,,PEBISO - 027,
,,,,,,Cashmere satinato cod.030,,PEBISO - 030,
,,,,,,Salvia satinato cod.031,,PEBISO - 031,
,,,,,,Cipria satinato cod.032,,PEBISO - 032,
,,,,,,Bicolore pergamon lucido,,PEBISO - BI - 000 - 013,
,,,,,,Bicolore denim satinato,,PEBISO - BI - 000 - 027,
,,,,,,Bicolore cipria satinato,,PEBISO - BI - 000 - 032,
,LAVOARE,DE BLAT,,Petra - COLUMN I,,Bianco lucido cod.000,https://www.ceramicagsg.it/en/products/petra-collection/petra-washbasins/42-cm-column-washbasin/,,
,,,,,,Bianco matt cod.001,,,
,,,,,,Nero matt cod.003,,,
,,,,,,Pergamon cod.013,,,
,,,,,,Denim satinato cod.027,,,
,,,,,,Cashmere satinato cod.030,,,
,,,,,,Salvia satinato cod.031,,,
,,,,,,Cipria satinato cod.032,,,
,,,,,,Bicolore pergamon lucido,,,
,,,,,,Bicolore denim satinato,,,
,,,,,,Bicolore cipria satinato,,,
,,,,Petra - 42,,Bianco lucido cod.000,https://www.ceramicagsg.it/en/products/petra-collection/petra-washbasins/countertop-washbasin-42-cm/,,
,,,,,,Bianco matt cod.001,,,
,,,,,,Nero matt cod.003,,,
,,,,,,Pergamon cod.013,,,
,,,,,,Denim satinato cod.027,,,
,,,,,,Cashmere satinato cod.030,,,
,,,,,,Salvia satinato cod.031,,,
,,,,,,Cipria satinato cod.032,,,
,,,,,,Bicolore pergamon lucido,,,
,,,,,,Bicolore denim satinato,,,
,,,,,,Bicolore cipria satinato,,,
,,,,Petra - 60,,Bianco lucido cod.000,https://www.ceramicagsg.it/en/products/petra-collection/petra-washbasins/countertop-washbasin-60-cm/,,
,,,,,,Bianco matt cod.001,,,
,,,,,,Nero matt cod.003,,,
,,,,,,Pergamon cod.013,,,
,,,,,,Denim satinato cod.027,,,
,,,,,,Cashmere satinato cod.030,,,
,,,,,,Salvia satinato cod.031,,,
,,,,,,Cipria satinato cod.032,,,
,,,,,,Bicolore pergamon lucido,,,
,,,,,,Bicolore denim satinato,,,
,,,,,,Bicolore cipria satinato,,,
,,,,Petra - 80,,Bianco lucido cod.000,https://www.ceramicagsg.it/en/products/petra-collection/petra-washbasins/countertop-washbasin-80-cm/,,
,,,,,,Bianco matt cod.001,,,
,,,,,,Nero matt cod.003,,,
,,,,,,Pergamon cod.013,,,
,,,,,,Denim satinato cod.027,,,
,,,,,,Cashmere satinato cod.030,,,
,,,,,,Salvia satinato cod.031,,,
,,,,,,Cipria satinato cod.032,,,
,,,,,,Bicolore pergamon lucido,,,
,,,,,,Bicolore denim satinato,,,
,,,,,,Bicolore cipria satinato,,,
,,FREESTANDING,,Petra - COLUMN II,,Bianco lucido cod.000,https://www.ceramicagsg.it/en/products/petra-collection/petra-washbasins/42-cm-column-washbasin-h85/,,
,,,,,,Bianco matt cod.001,,,
,,,,,,Nero matt cod.003,,,
,,,,,,Pergamon cod.013,,,
,,,,,,Denim satinato cod.027,,,
,,,,,,Cashmere satinato cod.030,,,
,,,,,,Salvia satinato cod.031,,,
,,,,,,Cipria satinato cod.032,,,
,,,,,,Bicolore pergamon lucido,,,
,,,,,,Bicolore denim satinato,,,
,,,,,,Bicolore cipria satinato,,,
,CAZI,FREESTANDING,,Petra - Cadă freestanding 150,,Bianco lucido cod.000,https://www.ceramicagsg.it/en/products/petra-collection/petra-bathtubs/bathtub-cm-150/,VAPE - 000,
,,,,,,Bianco matt cod.001,,VAPE - 001,
,,,,,,Total bianco matt cod.001-TO,,VAPE - 001 - TO,
,,,,,,Nero matt cod.003,,VAPE - 003,
,,,,,,Pergamon cod.013,,VAPE - 013,
,,,,,,Denim satinato cod.027,,VAPE - 027,
,,,,,,Salvia satinato cod.031,,VAPE - 031,
,,,,,,Cipria satinato cod.032,,VAPE - 032,
,,,,,,Sabbia satinato cod.034,,VAPE - 034,
