id,product_id,pdf_id,sort_order,created_at
1,1300,1,0,2026-05-10 14:49:15
2,1301,2,0,2026-05-10 14:49:15
3,1302,3,0,2026-05-10 14:49:15
4,1303,4,0,2026-05-10 14:49:15
5,1304,5,0,2026-05-10 14:49:15
6,1305,6,0,2026-05-10 14:49:15
7,1306,7,0,2026-05-10 14:49:15
8,1307,8,0,2026-05-10 14:49:15
9,1308,9,0,2026-05-10 14:49:15
10,1309,10,0,2026-05-10 14:49:15
11,1310,11,0,2026-05-10 14:49:15
12,1310,12,1,2026-05-10 14:49:15
13,1310,13,2,2026-05-10 14:49:15
14,1311,14,0,2026-05-10 14:49:15
15,1311,15,1,2026-05-10 14:49:15
16,1311,16,2,2026-05-10 14:49:15
17,1312,17,0,2026-05-10 14:49:15
18,1312,18,1,2026-05-10 14:49:15
19,1313,19,0,2026-05-10 14:49:15
20,1313,20,1,2026-05-10 14:49:15
21,1314,21,0,2026-05-10 14:49:15
22,1315,22,0,2026-05-10 14:49:15
23,1316,23,0,2026-05-10 14:49:15
24,1317,24,0,2026-05-10 14:49:15
25,1318,25,0,2026-05-10 14:49:15
26,1318,26,1,2026-05-10 14:49:15
27,1319,27,0,2026-05-10 14:49:15
28,1319,12,1,2026-05-10 14:49:15
29,1319,28,2,2026-05-10 14:49:15
30,1320,29,0,2026-05-10 14:49:15
31,1320,30,1,2026-05-10 14:49:15
32,1320,31,2,2026-05-10 14:49:15
33,1321,32,0,2026-05-10 14:49:15
34,1321,33,1,2026-05-10 14:49:15
35,1322,34,0,2026-05-10 14:49:15
36,1322,20,1,2026-05-10 14:49:15
37,1323,35,0,2026-05-10 14:49:15
38,1323,36,1,2026-05-10 14:49:15
39,1323,37,2,2026-05-10 14:49:15
40,1324,38,0,2026-05-10 14:49:15
41,1324,39,1,2026-05-10 14:49:15
42,1324,40,2,2026-05-10 14:49:15
43,1325,41,0,2026-05-10 14:49:15
44,1325,26,1,2026-05-10 14:49:15
45,1326,42,0,2026-05-10 14:49:15
46,1326,26,1,2026-05-10 14:49:15
