id,title,description,category,type,collection,is_new,subtype,manufacturer,catalog_id,finishes,position,sizes,thickness,material,shape,cut,diameter,length,width,height
1300,Petra - Vas de toaletă cu picior,,sanitare,VASE DE TOALETA,Petra,False,CU PICIOR,GSG,,,,,,Ceramica,,,,,,
1301,Petra - Vas de toaletă suspendat,,sanitare,VASE DE TOALETA,Petra,False,SUSPENDATE,GSG,,,,,,Ceramica,,,,,,
1302,Petra - Bideu cu picior,,sanitare,BIDEURI,Petra,False,CU PICIOR,GSG,,,,,,Ceramica,,,,,,
1303,Petra - Bideu suspendat,,sanitare,BIDEURI,Petra,False,SUSPENDATE,GSG,,,,,,Ceramica,,,,,,
1304,Petra - COLUMN I,,sanitare,LAVOARE,Petra,False,DE BLAT,GSG,,,,,,Ceramica,,,,,,
1305,Petra - 42,,sanitare,LAVOARE,Petra,False,DE BLAT,GSG,,,,,,Ceramica,,,,,,
1306,Petra - 60,,sanitare,LAVOARE,Petra,False,DE BLAT,GSG,,,,,,Ceramica,,,,,,
1307,Petra - 80,,sanitare,LAVOARE,Petra,False,DE BLAT,GSG,,,,,,Ceramica,,,,,,
1308,Petra - COLUMN II,,sanitare,LAVOARE,Petra,False,FREESTANDING,GSG,,,,,,Ceramica,,,,,,
1309,Petra - Cadă freestanding 150,,sanitare,CAZI,Petra,False,FREESTANDING,GSG,,,,,,Ceramica,,,,,,
1310,Cruise - Vas de toaletă cu picior,"Cruise rimless floor-mounted toilet with Smart Clean flush system.

Toilet seat, fixings and technical curve not included.",sanitare,VASE DE TOALETA,Cruise,False,CU PICIOR,GSG,,,,,,Ceramica,,,,,,
1311,Cruise - Vas de toaletă suspendat,"Cruise rimless wall-hung toilet with Smart Clean drainage system.

Seat cover and fixings not included.",sanitare,VASE DE TOALETA,Cruise,False,SUSPENDATE,GSG,,,,,,Ceramica,,,,,,
1312,Cruise - Bideu cu picior,"Cruise floor-mounted bidet with one hole (no hole, three holes available upon request)",sanitare,BIDEURI,Cruise,False,CU PICIOR,GSG,,,,,,Ceramica,,,,,,
1313,Cruise - Bideu suspendat,Bidet wall-hung one hole (no hole on request). Fixing kit not included.,sanitare,BIDEURI,Cruise,False,SUSPENDATE,GSG,,,,,,Ceramica,,,,,,
1314,Cruise - Round 45,Cruise round Washbasin cm Ø45 thin edge.,sanitare,LAVOARE,Cruise,False,DE BLAT,GSG,,,,,,Ceramica,,,45 mm,,,
1315,Cruise - SQUARE 45,Square Washbasin cm 45 thin edge.,sanitare,LAVOARE,Cruise,False,DE BLAT,GSG,,,,,,Ceramica,,,,,,
1316,Cruise - OVAL 65,Cruise oval Washbasin cm 65 thin edge.,sanitare,LAVOARE,Cruise,False,DE BLAT,GSG,,,,,,Ceramica,,,,,,
1317,Cruise - OVAL 80,Cruise oval free standing washbasin cm 80,sanitare,LAVOARE,Cruise,False,DE BLAT,GSG,,,,,,Ceramica,,,,,,
1318,Cruise - Cadă freestanding 172,"Wall or freestanding acrylic bathtub with overflow, 172 x 83 cm.

Complete with drain and waste.",sanitare,CAZI,Cruise,False,FREESTANDING,GSG,,,,,,Ceramica,,,,,,
1319,Like - Vas de toaletă cu picior,Wc back to wall CM. 55 rimless with Smart Clean flushing system wall drain suitable for floor drain with technical elbow (see code ACS100 or acs102 or ACS103). Seat Cover fixing kit and technical elbow not included.,sanitare,VASE DE TOALETA,Like,False,CU PICIOR,GSG,,,,,,Ceramica,,,,,,
1320,Like - Vas de toaletă suspendat,Wc wall-hung rimless with Eco Clean flushing system. Seat Cover and fixing kit not included.,sanitare,VASE DE TOALETA,Like,False,SUSPENDATE,GSG,,,,,,Ceramica,,,,,,
1321,Like - Bideu cu picior,"Bidet back to wall one hole (no hole, three holes on request).",sanitare,BIDEURI,Like,False,CU PICIOR,GSG,,,,,,Ceramica,,,,,,
1322,Like - Bideu suspendat,Bidet wall-hung one hole (no hole on request). Fixing kit not included.,sanitare,BIDEURI,Like,False,SUSPENDATE,GSG,,,,,,Ceramica,,,,,,
1323,Like - 45,"Like Washbasin cm 45 one hole (no hole, three holes on request). Fixing kit included (see code ACS60).",sanitare,LAVOARE,Like,False,DE BLAT,GSG,,,,,,Ceramica,,,,,,
1324,Like - 60,"Like Washbasin cm 60 one hole (no hole, three holes on request). Fixing kit included (see code ACS60).",sanitare,LAVOARE,Like,False,DE BLAT,GSG,,,,,,Ceramica,,,,,,
1325,Like I - Cadă freestanding 170,Buthtub free standing or back to wall in acrylic with overflow,sanitare,CAZI,Like,False,FREESTANDING,GSG,,,,,,Ceramica,,,,,,
1326,Like II - Cadă freestanding 170,Buthtub free standing or back to wall in acrylic with overflow,sanitare,CAZI,Like,False,FREESTANDING,GSG,,,,,,Ceramica,,,,,,
