id,title,description,category,type,collection,is_new,subtype,manufacturer,catalog_id,finishes,position,sizes,thickness,material,shape,cut,diameter,length,width,height,source
87,Natural Light Oak,"ECCO MAXI PLANK combines advanced SPC technology and refined design, offering high durability and performance for stylish, high-traffic interiors

Our exclusive SPC flooring line is a perfect fusion of cutting-edge technology and aesthetic design

ECCO MAXI PLANK is designed for those who refuse to compromise between style and functionality, offering an unprecedented option to transform any space into a livable work of art

With its 0.70 mm wear layer, our collection is unique in the market, offering a product with greater durability, enhanced resistance to wear, scratches, and dents (AC6), ensuring our collection is also suitable for high-traffic areas",spc,ASPECT LEMN,ECCO MAXI PLANK,False,,Omnia Floor,,,Podea,228 x 1540 mm,6 mm,SPC,,,,1540 mm,228 mm,,omnia
88,Natural Bleached Oak,"ECCO MAXI PLANK combines advanced SPC technology and refined design, offering high durability and performance for stylish, high-traffic interiors

Our exclusive SPC flooring line is a perfect fusion of cutting-edge technology and aesthetic design

ECCO MAXI PLANK is designed for those who refuse to compromise between style and functionality, offering an unprecedented option to transform any space into a livable work of art

With its 0.70 mm wear layer, our collection is unique in the market, offering a product with greater durability, enhanced resistance to wear, scratches, and dents (AC6), ensuring our collection is also suitable for high-traffic areas",spc,ASPECT LEMN,ECCO MAXI PLANK,False,,Omnia Floor,,,Podea,228 x 1540 mm,6 mm,SPC,,,,1540 mm,228 mm,,omnia
89,Natural Oak,"ECCO MAXI PLANK combines advanced SPC technology and refined design, offering high durability and performance for stylish, high-traffic interiors

Our exclusive SPC flooring line is a perfect fusion of cutting-edge technology and aesthetic design

ECCO MAXI PLANK is designed for those who refuse to compromise between style and functionality, offering an unprecedented option to transform any space into a livable work of art

With its 0.70 mm wear layer, our collection is unique in the market, offering a product with greater durability, enhanced resistance to wear, scratches, and dents (AC6), ensuring our collection is also suitable for high-traffic areas",spc,ASPECT LEMN,ECCO MAXI PLANK,False,,Omnia Floor,,,Podea,228 x 1540 mm,6 mm,SPC,,,,1540 mm,228 mm,,omnia
90,Natural Grey Oak,"ECCO MAXI PLANK combines advanced SPC technology and refined design, offering high durability and performance for stylish, high-traffic interiors

Our exclusive SPC flooring line is a perfect fusion of cutting-edge technology and aesthetic design

ECCO MAXI PLANK is designed for those who refuse to compromise between style and functionality, offering an unprecedented option to transform any space into a livable work of art

With its 0.70 mm wear layer, our collection is unique in the market, offering a product with greater durability, enhanced resistance to wear, scratches, and dents (AC6), ensuring our collection is also suitable for high-traffic areas",spc,ASPECT LEMN,ECCO MAXI PLANK,False,,Omnia Floor,,,Podea,228 x 1540 mm,6 mm,SPC,,,,1540 mm,228 mm,,omnia
91,Rovere Mielato,"OMNIA PREMIUM is a high-end SPC flooring collection with usage class 42, available in wide plank and herringbone formats

With a usage class of 42, OMNIA premium floors ensure exceptional durability, perfect for residential, commercial, and industrial environments subject to intense loads

Thanks to the integrated insulating underlay, impact noise is reduced by up to 21 dB, improving acoustic comfort in every space

The matte and textured finish gives the product an authentic look and an extremely natural feel, making the floor a distinctive element in any environment

Numerous decors are available, offering endless possibilities to personalize spaces according to your style",spc,ASPECT LEMN,PLANK & HERRINGBONE,False,,Omnia Floor,,,Podea,"148 x 592 mm, 229 x 1220 mm",,SPC,,,,"592 mm, 1220 mm","148 mm, 229 mm",,omnia
92,Rovere Heritage,"OMNIA PREMIUM is a high-end SPC flooring collection with usage class 42, available in wide plank and herringbone formats

With a usage class of 42, OMNIA premium floors ensure exceptional durability, perfect for residential, commercial, and industrial environments subject to intense loads

Thanks to the integrated insulating underlay, impact noise is reduced by up to 21 dB, improving acoustic comfort in every space

The matte and textured finish gives the product an authentic look and an extremely natural feel, making the floor a distinctive element in any environment

Numerous decors are available, offering endless possibilities to personalize spaces according to your style",spc,ASPECT LEMN,PLANK & HERRINGBONE,False,,Omnia Floor,,,Podea,"148 x 592 mm, 229 x 1220 mm",,SPC,,,,"592 mm, 1220 mm","148 mm, 229 mm",,omnia
93,Rovere Ambrato,"OMNIA PREMIUM is a high-end SPC flooring collection with usage class 42, available in wide plank and herringbone formats

With a usage class of 42, OMNIA premium floors ensure exceptional durability, perfect for residential, commercial, and industrial environments subject to intense loads

Thanks to the integrated insulating underlay, impact noise is reduced by up to 21 dB, improving acoustic comfort in every space

The matte and textured finish gives the product an authentic look and an extremely natural feel, making the floor a distinctive element in any environment

Numerous decors are available, offering endless possibilities to personalize spaces according to your style",spc,ASPECT LEMN,PLANK & HERRINGBONE,False,,Omnia Floor,,,Podea,"148 x 592 mm, 229 x 1220 mm",,SPC,,,,"592 mm, 1220 mm","148 mm, 229 mm",,omnia
94,Rovere Nuvola,"OMNIA PREMIUM is a high-end SPC flooring collection with usage class 42, available in wide plank and herringbone formats

With a usage class of 42, OMNIA premium floors ensure exceptional durability, perfect for residential, commercial, and industrial environments subject to intense loads

Thanks to the integrated insulating underlay, impact noise is reduced by up to 21 dB, improving acoustic comfort in every space

The matte and textured finish gives the product an authentic look and an extremely natural feel, making the floor a distinctive element in any environment

Numerous decors are available, offering endless possibilities to personalize spaces according to your style",spc,ASPECT LEMN,PLANK & HERRINGBONE,False,,Omnia Floor,,,Podea,"148 x 592 mm, 229 x 1220 mm",,SPC,,,,"592 mm, 1220 mm","148 mm, 229 mm",,omnia
95,Rovere Seta,"OMNIA PREMIUM is a high-end SPC flooring collection with usage class 42, available in wide plank and herringbone formats

With a usage class of 42, OMNIA premium floors ensure exceptional durability, perfect for residential, commercial, and industrial environments subject to intense loads

Thanks to the integrated insulating underlay, impact noise is reduced by up to 21 dB, improving acoustic comfort in every space

The matte and textured finish gives the product an authentic look and an extremely natural feel, making the floor a distinctive element in any environment

Numerous decors are available, offering endless possibilities to personalize spaces according to your style",spc,ASPECT LEMN,PLANK & HERRINGBONE,False,,Omnia Floor,,,Podea,"148 x 592 mm, 229 x 1220 mm",,SPC,,,,"592 mm, 1220 mm","148 mm, 229 mm",,omnia
96,Rovere Perla,"OMNIA Standard Plank features elegant formats, matte authentic surfaces, and reliable performance thanks to a stable click system and integrated underlay

The planks in the OMNIA Standard Plank line stand out for their elegant format, which enhances the decor and the matte, authentic vinyl surface, giving the floor an even more natural look. The lacquered 4V groove along the entire perimeter highlights each plank, creating a visual effect that expands the space

Thanks to the practical click system, simple and stable, and usage class 34, this floor is ideal for tackling daily challenges with style and resistance. Additionally, the integrated underlay improves room acoustics and walking comfort

The special plank dimensions give the floor a unique and welcoming elegance. The combination of format, structure, and decor enhances every detail, making it a refined choice for any space",spc,ASPECT LEMN,STANDARD PLANK,False,,Omnia Floor,,,Podea,228 x 1220 mm,5 mm,SPC,,,,1220 mm,228 mm,,omnia
