Categorie,Subcategorie,SUB-SUBCATEGORIE,Colectie,Nume produs,Variante LEMN/METAL,Variante PIELE,Variante TEXTIL,Link variante,COD REFERINTA,obs
MOBILIER,INTERIOR,FOTOLII,Peter Fehrentz,OSO,,Leather Lugano / 2204,Linara / 98 / truffle,https://www.more-moebel.de/en/item/oso-easy-chair,,DACA N-ARATA CA NAIBA - PUNETI TOATE FINISAJELE DISPONIBILE INTR-O RUBRICA DIN DREAPTA POZEI - VARIANTE DISPONIBILE -  SI SA FIE SUBIMPARTITE CA LA ASTIA PE SITE IDK
,,,,,,Leather Lugano / 0509,Linara / 192 / chinchilla,,,
,,,,,,Leather Lugano / 2594,Linara / 197 / gris,,,
,,,,,,Leather Orta / 3654,Linara / 210 / feathergrey,,,
,,,,,,Leather Orta / 2159,Rami / 6810,,,
,,,,,,leather Orta / 2491,Clunis / 05,,,
,,,,,,Leather Orta / 1431,Gent / 02,,,
,,,Bernhard Müller,SOVA I,,Leather Lugano / 2204,Linara / 98 / truffle,https://www.more-moebel.de/en/item/sova-lounge-chair,,
,,,,,,Leather Lugano / 0509,Linara / 192 / chinchilla,,,
,,,,,,Leather Lugano / 2594,Linara / 197 / gris,,,
,,,,,,Leather Orta / 3654,Linara / 210 / feathergrey,,,
,,,,,,Leather Orta / 2159,Rami / 6810,,,
,,,,,,leather Orta / 2491,Clunis / 05,,,
,,,,,,Leather Orta / 1431,Gent / 02,,,
,,,Bernhard Müller,SOVA II,,Leather Lugano / 2204,Linara / 98 / truffle,https://www.more-moebel.de/en/item/sova-chaise-longue,,
,,,,,,Leather Lugano / 0509,Linara / 192 / chinchilla,,,
,,,,,,Leather Lugano / 2594,Linara / 197 / gris,,,
,,,,,,Leather Orta / 3654,Linara / 210 / feathergrey,,,
,,,,,,Leather Orta / 2159,Rami / 6810,,,
,,,,,,leather Orta / 2491,Clunis / 05,,,
,,,,,,Leather Orta / 1431,Gent / 02,,,
,,BANCHETE,Bernhard Müller,ONDA,,Leather Lugano / 2204,Linara / 98 / truffle,https://www.more-moebel.de/en/item/onda-dining-sofa,,
