Categorie,Subcategorie,BRAND,Colectie,Nume produs,Nume variante/SUBTITLU,Variante culori,Link variante
ceramice,niche tiles,QUINTESSENZA CERAMICHE,Tempo,Tempo,,,https://www.quintessenzaceramiche.it/collezioni/tempo/
,,,Terrae,Terrae,,,https://www.quintessenzaceramiche.it/collezioni/terrae/
,,,Amarcord,Amarcord,,,https://www.quintessenzaceramiche.it/collezioni/amarcord/
,,,Colors,Colors,,,https://www.quintessenzaceramiche.it/collezioni/colors/
,,,Fluid,Fluid,,,https://www.quintessenzaceramiche.it/collezioni/fluid/
,,,Marea,Marea,,,https://www.quintessenzaceramiche.it/collezioni/marea/
,,,Färgblock 15×15,Färgblock 15×15,,,https://www.quintessenzaceramiche.it/collezioni/fargblock-15x15/
,,,Färgblock 5×15,Färgblock 5×15,,,https://www.quintessenzaceramiche.it/collezioni/fargblock-matt/
,,,Pigmento10,Pigmento10,,,https://www.quintessenzaceramiche.it/collezioni/pigmento10/
,,,Confetti,Confetti,,,https://www.quintessenzaceramiche.it/collezioni/confetti/
,,,Pigmento,Pigmento,,,https://www.quintessenzaceramiche.it/collezioni/pigmento/
,,,Oltre,Oltre,,,https://www.quintessenzaceramiche.it/collezioni/oltre/
