id,title,r2_key,url,created_at
1,Tempo - Technical details,,https://www.quintessenzaceramiche.it/wp-content/uploads/2025/10/Tempo.pdf,2026-05-10 18:48:15
2,Tempo - Leaflet,,https://www.quintessenzaceramiche.it/wp-content/uploads/2026/03/Leaflet_Tempo.pdf,2026-05-10 18:48:15
3,Terrae - Technical details,,https://www.quintessenzaceramiche.it/wp-content/uploads/2025/10/terrae.pdf,2026-05-10 18:48:15
4,Terrae - Leaflet,,https://www.quintessenzaceramiche.it/wp-content/uploads/2026/03/Leaflet_Terrae.pdf,2026-05-10 18:48:15
5,Amarcord - Technical details,,https://www.quintessenzaceramiche.it/wp-content/uploads/2025/10/amarcord.pdf,2026-05-10 18:48:15
6,Amarcord - Leaflet,,https://www.quintessenzaceramiche.it/wp-content/uploads/2026/03/Leaflet_Amarcord.pdf,2026-05-10 18:48:15
7,Colors - Technical details,,https://www.quintessenzaceramiche.it/wp-content/uploads/2025/04/Colors.pdf,2026-05-10 18:48:15
8,Colors - Leaflet,,https://www.quintessenzaceramiche.it/wp-content/uploads/2025/04/colors_Febbraio_2025.pdf,2026-05-10 18:48:15
9,Fluid - Technical details,,https://www.quintessenzaceramiche.it/wp-content/uploads/2025/04/Fluid.pdf,2026-05-10 18:48:15
10,Fluid - Leaflet,,https://www.quintessenzaceramiche.it/wp-content/uploads/2024/09/fluid_flyer.pdf,2026-05-10 18:48:15
11,Marea - Technical details,,https://www.quintessenzaceramiche.it/wp-content/uploads/2025/05/Marea.pdf,2026-05-10 18:48:15
12,Marea - Leaflet,,https://www.quintessenzaceramiche.it/wp-content/uploads/2025/05/leaflet-marea.pdf,2026-05-10 18:48:15
13,Färgblock 15×15 - Technical details,,https://www.quintessenzaceramiche.it/wp-content/uploads/2025/04/Fargblock-15x15-1.pdf,2026-05-10 18:48:15
14,Färgblock - Leaflet,,https://www.quintessenzaceramiche.it/wp-content/uploads/2026/03/fargblock_Febbraio_2026_web_v2-1.pdf,2026-05-10 18:48:15
15,Färgblock 5×15 - Technical details,,https://www.quintessenzaceramiche.it/wp-content/uploads/2025/07/Fargblock_5x15.pdf,2026-05-10 18:48:15
16,Pigmento10 - Technical details,,https://www.quintessenzaceramiche.it/wp-content/uploads/2025/05/Pigmento-10-6.pdf,2026-05-10 18:48:15
17,Pigmento10 - Leaflet,,https://www.quintessenzaceramiche.it/wp-content/uploads/2025/05/flyer-pigmento10.pdf,2026-05-10 18:48:15
18,Confetti - Technical details,,https://www.quintessenzaceramiche.it/wp-content/uploads/2025/05/Confetti.pdf,2026-05-10 18:48:15
19,Confetti - Leaflet,,https://www.quintessenzaceramiche.it/wp-content/uploads/2024/04/Confetti.pdf,2026-05-10 18:48:15
20,Pigmento - Technical details,,https://www.quintessenzaceramiche.it/wp-content/uploads/2025/05/Pigmento-6x37-1.pdf,2026-05-10 18:48:15
21,Pigmento - Leaflet,,https://www.quintessenzaceramiche.it/wp-content/uploads/2024/04/Pigmento-6x37-2.pdf,2026-05-10 18:48:15
22,Oltre - Technical details,,https://www.quintessenzaceramiche.it/wp-content/uploads/2025/05/Oltre.pdf,2026-05-10 18:48:15
23,Oltre - Leaflet,,https://www.quintessenzaceramiche.it/wp-content/uploads/2024/04/Oltre.pdf,2026-05-10 18:48:15
