Categorie,Subcategorie,SUB-SUBCATEGORIE,Colectie,Nume produs,Nume variante,Variante culori,Link variante,COD REFERINTA,obs
MOBILIER,EXTERIOR,FOTOLII,Amalfi,Amalfi  - Fotoliu,,Desert Mix,https://rosasplendiani.it/en/prodotti/poltrone/poltrona-amalfi/,ROSA_60-191 DM/PW,
,,,,,,Pearl White,,,
,,,Dakota,Dakota - Fotoliu,,Desert Mix,https://rosasplendiani.it/en/prodotti/poltrone/poltrona-dakota/,ROSA_60-201 DM/PW,
,,,,,,Pearl White,,,
,,,Gilda,Gilda - Fotoliu,,Sunproof Sand,https://rosasplendiani.it/en/prodotti/poltrone/poltrona-gilda/,ROSA_60-181,
,,,,,,Sunproof Sand,,,
,,,Zante,Zante - Fotoliu,,Rope - Off White,https://rosasplendiani.it/en/prodotti/sedie/poltroncina-zante/,ROSA_60-255,
,,,,,,Rope - Cappuccino,,,
,,CANAPELE,Amalfi,Amalfi  - Canapea,,Desert Mix,https://rosasplendiani.it/en/prodotti/divani/divano-amalfi/,60-192 DM/PW,
,,,,,,Pearl White,,,
,,,Dakota,Dakota - Canapea,,Desert Mix,https://rosasplendiani.it/en/prodotti/divani/divano-dakota/,60-203 DM/PW,
,,,,,,Pearl White,,,
,,,Gilda,Gilda - Canapea,,Sunproof Sand,https://rosasplendiani.it/en/prodotti/divani/divano-tre-posti-gilda/,60-183,
,,,BAHIA,BAHIA - Canapea modulară,MODUL SIMPLU 90x90 ,Desert Mix / GREY,https://rosasplendiani.it/en/prodotti/divani-modulari/divano-bahia-modulare/,60-301,
,,,,,Modul de colț 180×90,,,60-303,
,,,,,Modul dublu 180x90,,,60-302,
,,,,,Set spătar și perne decorative,,,60-304CU,
,,,,,Spătar din aluminiu împletit cu frânghie,,,60-30 DM/GY,
,,,Tosca,Tosca - Canapea modulară,MODUL SIMPLU 70 x 90,,https://rosasplendiani.it/en/prodotti/divani/divano-modulare-tosca/,80-100,
,,,,,Modul de colț 90 x 90,,,80-101,
,,,,,Modul dublu 140 x 90,,,80-102,
,,,,,Modul de colț mare 115 x 115,,,80-103,
,,,,,Modul puf 70 x 90 ,,,80-104,
,,,,,modul puf rotund 80,,,80-105,
,,,,,modul puf rotund 50,,,80-105,
,,SCAUNE,Amalfi,Amalfi  - Scaun,,Desert Mix,,60-195,
,,,,,,Pearl White,,,
,,,Dakota,Dakota - Scaun,,Desert Mix,https://rosasplendiani.it/en/prodotti/sedie/poltroncina-dakota/,60-205,
,,,,,,Pearl White,,,
,,,,,,Java Brown,,,
,,,Gilda,Gilda - Scaun,,Sunproof Sand,https://rosasplendiani.it/en/prodotti/sedie/sedia-gilda/,60-126,
,,,Lidia,Lidia - Scaun,,,https://rosasplendiani.it/en/prodotti/sedie/sedia-lidia/,80-X112BT,
,,MESE,Juniper,Juniper - Masă extensibilă,,Natural Teak,https://rosasplendiani.it/en/prodotti/tavoli/tavolo-juniper/,70-JP20,
,,Șezlonguri,Dakota,Dakota - Șezlong,,Desert Mix,https://rosasplendiani.it/en/prodotti/lettini/lettino-dakota/,60-206 DM/PW,
,,,,,,Pearl White,,,
,,,Melvin ,Melvin - Șezlong,,Natural Teak,https://rosasplendiani.it/en/prodotti/lettini/lettino-melvin-in-teak-2/,TT-126,
,,Masuțe de cafea,Dakota,Dakota - masuță,,Natural Teak,https://rosasplendiani.it/en/prodotti/tavolini/tavolino-dakota/,60-204,
