Categorie,Subcategorie,SUB-SUBCATEGORIE,Colectie,Nume produs,Nume variante,Variante culori,Link variante,COD REFERINTA
SANITARE,BATERII,DE BLAT,Loop K,Loop K - Baterie joasă,,BG Brushed gold,https://sanycces.es/en/product/loop-k-3/,
,,,,,,BM Black matt,,
,,,,,,CR Chrome plate,,
,,,,,,MG Metal gun,,
,,,,,,NB Nickel brushed,,
,,,,,,RG Brushed rose gold,,
,,,,Loop K - Baterie înaltă,,BG Brushed gold,https://sanycces.es/en/product/loop-k-4/,
,,,,,,BM Black matt,,
,,,,,,CR Chrome plate,,
,,,,,,MG Metal gun,,
,,,,,,NB Nickel brushed,,
,,,,,,RG Brushed rose gold,,
,,,Pool,Pool - Baterie joasă,,NB Nickel brushed,https://sanycces.es/en/product/pool_monomando_lavabo/,
,,,,,,RM Raw metal,,
,,,,Pool - Baterie înaltă,,NB Nickel brushed,https://sanycces.es/en/product/pool_monomando_alto_lavabo/,
,,,,,,RM Raw metal,,
,,DE PERETE,Loop K,Loop K - Baterie încastrată,,BG Brushed gold,https://sanycces.es/en/product/loop-k-6/,
,,,,,,BM Black matt,,
,,,,,,CR Chrome plate,,
,,,,,,MG Metal gun,,
,,,,,,NB Nickel brushed,,
,,,,,,RG Brushed rose gold,,
,,,Pool,Pool - Baterie încastrată,,NB Nickel brushed,https://sanycces.es/en/product/pool-2/,
,,,,,,RM Raw metal,,
,,FREESTANDING,Loop K,Loop K - Baterie freestanding,,BG Brushed gold,https://sanycces.es/en/product/loop-10/,
,,,,,,BM Black matt,,
,,,,,,CR Chrome plate,,
,,,,,,MG Metal gun,,
,,,,,,NB Nickel brushed,,
,,,,,,RG Brushed rose gold,,
,,,Pool,Pool - Baterie freestanding,,NB Nickel brushed,https://sanycces.es/en/product/pool-3/,
,,,,,,RM Raw metal,,
,,DE BIDEU,Loop K,Loop K - Baterie bideu,,BG Brushed gold,https://sanycces.es/en/product/loop-7/,
,,,,,,BM Black matt,,
,,,,,,CR Chrome plate,,
,,,,,,MG Metal gun,,
,,,,,,NB Nickel brushed,,
,,,,,,RG Brushed rose gold,,
,,,Pool,Pool - Baterie bideu,,NB Nickel brushed,https://sanycces.es/en/product/pool_bidet_mixer/,
,,,,,,RM Raw metal,,
,,,,Loop K - Baterie wc,,BG Brushed gold,https://sanycces.es/en/product/loop-19/,
,,,,,,BM Black matt,,
,,,,,,CR Chrome plate,,
,,,,,,MG Metal gun,,
,,,,,,NB Nickel brushed,,
,,,,,,RG Brushed rose gold,,
,,DUS,Loop K,Loop K - Sistem de duș cu coloană aparenă,,BG Brushed gold,https://sanycces.es/en/product/loop-k-13/,
,,,,,,BM Black matt,,
,,,,,,CR Chrome plate,,
,,,,,,MG Metal gun,,
,,,,,,NB Nickel brushed,,
,,,,,,RG Brushed rose gold,,
,,,Pool,Pool - Sistem de duș cu coloană aparenă,,NB Nickel brushed,https://sanycces.es/en/product/pool_mixer-shower-column/,
,,,,,,RM Raw metal,,
,,,Loop K,Loop K - Sistem de duș încastrat,,BG Brushed gold,https://sanycces.es/en/product/loop-23/,
,,,,,,BM Black matt,,
,,,,,,CR Chrome plate,,
,,,,,,MG Metal gun,,
,,,,,,NB Nickel brushed,,
,,,,,,RG Brushed rose gold,,
,,,Pool,Pool - Sistem de duș încastrat,,NB Nickel brushed,https://sanycces.es/en/product/pool-horizontal_wall-mounted-_thermostatic_shower_mixer_2-3_ways/,
,,,,,,RM Raw metal,,
,,CADA,Pool,Pool - Baterie freestanding cu duș,,NB Nickel brushed,https://sanycces.es/en/product/pool_freestanding_bathtub_faucet/,
,,,,,,RM Raw metal,,
,,,Loop K,Loop - Baterie freestanding cu duș,,BG Brushed gold,https://sanycces.es/en/product/loop-11/,
,,,,,,BM Black matt,,
,,,,,,CR Chrome plate,,
,,,,,,MG Metal gun,,
,,,,,,NB Nickel brushed,,
,,,,,,RG Brushed rose gold,,
,,,Pool,Pool - Set baterie de cadă,,NB Nickel brushed,https://sanycces.es/en/product/pool_deckmounted_mixer_bathtub/,
,,,,,,RM Raw metal,,
,VASE DE TOALETĂ,SUSPENDATE,Franc,Franc - Vas de toaletă,,Black matt,https://sanycces.es/en/product/franc/,
,,,,,,White gloss,,
,,,,,,White matt,,
,,,Arc,Arc - Vas de toaletă,,Black matt,https://sanycces.es/en/product/arc/,
,,,,,,White gloss,,
,,,,,,White matt,,
,,CU PICIOR,Arc,Arc - Vas de toaletă,,Black matt,https://sanycces.es/en/product/arc-4/,
,,,,,,White gloss,,
,,,,,,White matt,,
,BIDEURI,SUSPENDATE,Franc,Franc - Bideu,,Black matt,https://sanycces.es/en/product/franc-bdm/,
,,,,,,White gloss,,
,,,,,,White matt,,
,,,Arc,Arc - Bideu I,,Black matt,https://sanycces.es/en/product/arc-2/,
,,,,,,White gloss,,
,,,,,,White matt,,
,,CU PICIOR,Arc,Arc - Bideu II,,Black matt,https://sanycces.es/en/product/arc-4/,
,,,,,,White gloss,,
,,,,,,White matt,,
,LAVOARE,DE BLAT,Duna,Duna,,Carrara Marble,https://sanycces.es/en/product/duna-basin/,
,,,,,,Marquina Marble,,
,,,,,,Pietra Grey Stone,,
,,,,,,White matt,,
,,,,,,varianta disponibila la cerere in orice culoare RAL,,
,,,Oasis,Oasis,,Carrara Marble,https://sanycces.es/en/product/oasis-3/,
,,,,,,Marquina Marble,,
,,,,,,Pietra Grey Stone,,
,,,,,,White matt,,
,,,,,,varianta disponibila la cerere in orice culoare RAL,,
,,,Oasis,Oasis semipedestal,,Carrara Marble,https://sanycces.es/en/product/oasis-semipedestal/,
,,,,,,Marquina Marble,,
,,,,,,Pietra Grey Stone,,
,,,,,,White matt,,
,,,,,,varianta disponibila la cerere in orice culoare RAL,,
,,FREESTANDING,Tempo,Tempo pedestal,,White gloss,https://sanycces.es/en/product/tempo-2/,
,,,,,,White matt,,
,,,,,,varianta disponibila la cerere in orice culoare RAL,,
,,, Joy,Circo Joy,,White matt,https://sanycces.es/en/product/circo-joy/,
,,,,,,,,
,,,,,,varianta disponibila la cerere in orice culoare RAL,,
,,, Joy,Cuadra Joy,,White matt,https://sanycces.es/en/product/cuadra-joy/,
,,,,,,,,
,,,,,,varianta disponibila la cerere in orice culoare RAL,,
,CAZI,CAZI,Duna,Duna 170,,White matt,https://sanycces.es/en/product/duna-bathtub-freestanding-170/,
,,,,,,varianta disponibila la cerere in orice culoare RAL,,
,,,Duna,Duna Ofuro,,White matt,https://sanycces.es/en/product/duna-ofuro/,
,,,,,,varianta disponibila la cerere in orice culoare RAL,,
,,,Tempo,Tempo 170,,White gloss,https://sanycces.es/en/product/tempo/,
,,,,,,White matt,,
,,,,,,varianta disponibila la cerere in orice culoare RAL,,
,,,Arc,Arc Ø130,,White gloss,https://sanycces.es/en/product/arc-8/,
,,,,,,White matt,,
,,,,,,varianta disponibila la cerere in orice culoare RAL,,
,,,Oasis,Oasis 170,,White matt,https://sanycces.es/en/product/oasis/,
,,,,,,varianta disponibila la cerere in orice culoare RAL,,
,,,Calma,Calma 170,,White gloss,https://sanycces.es/en/product/calma/,
,,,,,,White matt,,
,,,,,,varianta disponibila la cerere in orice culoare RAL,,
,ACCESORII SI PIESE TEHNICE,PIEDESTALE,Complements,Duna pedestal - lavoare DUNA,,White matt,https://sanycces.es/en/product/duna-pedestal-exento/,
,,,,,,Oak,,
,,,,,,varianta disponibila la cerere in orice culoare RAL,,
,,,,Oasis pedestal - lavoare OASIM,,White matt,https://sanycces.es/en/product/oasis-pedestal-exento/,
,,,,,,American walnut,,
,,,,,,varianta disponibila la cerere in orice culoare RAL,,
,,,,Oasis semipedestal - lavoare OASIM,,White matt,https://sanycces.es/en/product/oasis-semipedestal-exento/,
,,,,,,Oak wood slats,,
,,,,,,varianta disponibila la cerere in orice culoare RAL,,
,,ACCESORII,Auxiliar,Calma - accesoriu pentru cadă CALMA,,Iroko wood,https://sanycces.es/en/product/calma-tray/,
,,,,Gregal,,Iroko wood,https://sanycces.es/en/product/gregal/,
,,,,Mistral,,Iroko wood,https://sanycces.es/en/product/mistral/,
,,,,Duna - Treaptă din plută neagră,,Black cork,https://sanycces.es/en/product/duna-3/,
,,,,Isla alta | Isla baja,blat,Carrara Marble ,https://sanycces.es/en/product/isla-alta-isla-baja/,
,,,,,,Marquina Marble,,
,,,,,,Pietra Grey Stone,,
,,,,,,Grey,,
,,,,,,Oak,,
,,,,,,Sage green,,
,,,,,,Steel blue,,
,,,,,,Terracotta,,
,,,,,picior,Grey,,
,,,,,,Sage green,,
,,,,,,Steel blue,,
,,,,,,Terracotta,,
,,,,,,Anthracite,,
,,,,Poniente,,Beige nautical textile,https://sanycces.es/en/product/poniente/,
,,,,,,Iroko wood,,
,,,,Pool - Suport pentru prosoape,,NB Nickel brushed,https://sanycces.es/en/product/pool-towell-rail-20/,
,,,,,,RM Raw metal,,
,,,,Duna - accesorii,,Carrara Marble,https://sanycces.es/en/product/duna-marble-brush-tumbler/,
,,,,,,Marquina Marble,,
,,,,,,Pietra Grey Stone,,
,,,,Pool - Suport pentru hartie,,NB Nickel brushed,https://sanycces.es/en/product/pool-toilet-paper-holder/,
,,,,,,RM Raw metal,,
,,,,Cuadra Joy - Săpunieră,,Iroko wood,https://sanycces.es/en/products/,
,,,,,,White matt,,
