id,title,description,category,type,collection,is_new,subtype,manufacturer,catalog_id,finishes,position,sizes,thickness,material,shape,cut,diameter,length,width,height
1600,Loop K - Baterie joasă,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Loop K,False,DE BLAT,Sanycces,,,,,,Finishes,,,,,,
1601,Loop K - Baterie înaltă,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Loop K,False,DE BLAT,Sanycces,,,,,,Finishes,,,,,,
1602,Pool - Baterie joasă,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Pool,False,DE BLAT,Sanycces,,,,,,Finishes,,,,,,
1603,Pool - Baterie înaltă,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Pool,False,DE BLAT,Sanycces,,,,,,Finishes,,,,,,
1604,Loop K - Baterie încastrată,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Loop K,False,DE PERETE,Sanycces,,,,,,Finishes,,,,,,
1605,Pool - Baterie încastrată,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Pool,False,DE PERETE,Sanycces,,,,,,Finishes,,,,,,
1606,Loop K - Baterie freestanding,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Loop K,False,FREESTANDING,Sanycces,,,,,,Finishes,,,,,,
1607,Pool - Baterie freestanding,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Pool,False,FREESTANDING,Sanycces,,,,,,Finishes,,,,,,
1608,Loop K - Baterie bideu,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Loop K,False,DE BIDEU,Sanycces,,,,,,Finishes,,,,,,
1609,Pool - Baterie bideu,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Pool,False,DE BIDEU,Sanycces,,,,,,Finishes,,,,,,
1610,Loop K - Baterie wc,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Pool,False,DE BIDEU,Sanycces,,,,,,Finishes,,,,,,
1611,Loop K - Sistem de duș cu coloană aparenă,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Loop K,False,DUS,Sanycces,,,,,,Finishes,,,,,,
1612,Pool - Sistem de duș cu coloană aparenă,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Pool,False,DUS,Sanycces,,,,,,Finishes,,,,,,
1613,Loop K - Sistem de duș încastrat,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Loop K,False,DUS,Sanycces,,,,,,Finishes,,,,,,
1614,Pool - Sistem de duș încastrat,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Pool,False,DUS,Sanycces,,,,,,Finishes,,,,,,
1615,Pool - Baterie freestanding cu duș,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Pool,False,CADA,Sanycces,,,,,,Finishes,,,,,,
1616,Loop - Baterie freestanding cu duș,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Loop K,False,CADA,Sanycces,,,,,,Finishes,,,,,,
1617,Pool - Set baterie de cadă,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BATERII,Pool,False,CADA,Sanycces,,,,,,Finishes,,,,,,
1618,Franc - Vas de toaletă,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,VASE DE TOALETĂ,Franc,False,SUSPENDATE,Sanycces,,,,,,Finishes,,,,,,
1619,Arc - Vas de toaletă,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,VASE DE TOALETĂ,Arc,False,SUSPENDATE,Sanycces,,,,,,Finishes,,,,,,
1620,Arc - Vas de toaletă,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,VASE DE TOALETĂ,Arc,False,CU PICIOR,Sanycces,,,,,,Finishes,,,,,,
1621,Franc - Bideu,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BIDEURI,Franc,False,SUSPENDATE,Sanycces,,,,,,Finishes,,,,,,
1622,Arc - Bideu I,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BIDEURI,Arc,False,SUSPENDATE,Sanycces,,,,,,Finishes,,,,,,
1623,Arc - Bideu II,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BIDEURI,Arc,False,CU PICIOR,Sanycces,,,,,,Finishes,,,,,,
1624,Duna,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,LAVOARE,Duna,False,DE BLAT,Sanycces,,,,,,Finishes,,,,,,
1625,Oasis,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,LAVOARE,Oasis,False,DE BLAT,Sanycces,,,,,,Finishes,,,,,,
1626,Oasis semipedestal,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,LAVOARE,Oasis,False,DE BLAT,Sanycces,,,,,,Finishes,,,,,,
1627,Tempo pedestal,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,LAVOARE,Tempo,False,FREESTANDING,Sanycces,,,,,,Finishes,,,,,,
1628,Circo Joy,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,LAVOARE,Joy,False,FREESTANDING,Sanycces,,,,,,Finishes,,,,,,
1629,Cuadra Joy,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,LAVOARE,Joy,False,FREESTANDING,Sanycces,,,,,,Finishes,,,,,,
1630,Duna 170,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,CAZI,Duna,False,CAZI,Sanycces,,,,,,Finishes,,,,,,
1631,Duna Ofuro,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,CAZI,Duna,False,CAZI,Sanycces,,,,,,Finishes,,,,,,
1632,Tempo 170,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,CAZI,Tempo,False,CAZI,Sanycces,,,,,,Finishes,,,,,,
1633,Arc Ø130,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,CAZI,Arc,False,CAZI,Sanycces,,,,,,Finishes,,,130 mm,,,
1634,Oasis 170,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,CAZI,Oasis,False,CAZI,Sanycces,,,,,,Finishes,,,,,,
1635,Calma 170,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,CAZI,Calma,False,CAZI,Sanycces,,,,,,Finishes,,,,,,
1636,Duna pedestal - lavoare DUNA,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Complements,False,PIEDESTALE,Sanycces,,,,,,Finishes,,,,,,
1637,Oasis pedestal - lavoare OASIM,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Complements,False,PIEDESTALE,Sanycces,,,,,,Finishes,,,,,,
1638,Oasis semipedestal - lavoare OASIM,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Complements,False,PIEDESTALE,Sanycces,,,,,,Finishes,,,,,,
1639,Calma - accesoriu pentru cadă CALMA,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Auxiliar,False,ACCESORII,Sanycces,,,,,,Finishes,,,,,,
1640,Gregal,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Auxiliar,False,ACCESORII,Sanycces,,,,,,Finishes,,,,,,
1641,Mistral,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Auxiliar,False,ACCESORII,Sanycces,,,,,,Finishes,,,,,,
1642,Duna - Treaptă din plută neagră,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Auxiliar,False,ACCESORII,Sanycces,,,,,,Finishes,,,,,,
1643,Isla alta | Isla baja,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Auxiliar,False,ACCESORII,Sanycces,,,,,,Finishes,,,,,,
1644,Poniente,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Auxiliar,False,ACCESORII,Sanycces,,,,,,,,,,,,
1645,Pool - Suport pentru prosoape,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Auxiliar,False,ACCESORII,Sanycces,,,,,,Finishes,,,,,,
1646,Duna - accesorii,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Auxiliar,False,ACCESORII,Sanycces,,,,,,Finishes,,,,,,
1647,Pool - Suport pentru hartie,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Auxiliar,False,ACCESORII,Sanycces,,,,,,Finishes,,,,,,
1648,Cuadra Joy - Săpunieră,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Auxiliar,False,ACCESORII,Sanycces,,,,,,,,,,,,
1649,Circo Joy - Săpunieră,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Auxiliar,False,ACCESORII,Sanycces,,,,,,Finishes,,,,,,
