Categorie,Subcategorie,Colectie,Nume produs,Nume variante,Link variante
PLACI CERAMICE,NICHE TILES,L'Eau,L'Eau,Klein,https://www.sodaidesign.com/en/products/leau-en/klein-en/
,,,,Jade,https://www.sodaidesign.com/en/products/leau-en/jade-en/
,,Animalier,Animalier,Klein,https://www.sodaidesign.com/en/products/animalier-en/klein-en/
,,,,Jade,https://www.sodaidesign.com/en/products/animalier-en/jade-en/
,,Tortuga,Tortuga,Tortuga,https://www.sodaidesign.com/en/products/tortuga-en/tortuga-en/
,,Rad,Rad,Light,https://www.sodaidesign.com/en/products/rad-en/light-en/
,,,,Mid,https://www.sodaidesign.com/en/products/rad-en/mid-en/
,,,,Dark,https://www.sodaidesign.com/en/products/rad-en/piombo-en/
,,Majesty,Majesty,Piombo,https://www.sodaidesign.com/en/products/majesty-en/piombo-en/
,,,,Burgundy,https://www.sodaidesign.com/en/products/majesty-en/burgundy-en/
,,,,Cardinal,https://www.sodaidesign.com/en/products/majesty-en/cardinal-en/
,,,,Skin,https://www.sodaidesign.com/en/products/majesty-en/skin-en/
,,,,Mud,https://www.sodaidesign.com/en/products/majesty-en/mud-en/
,,,,Vanilla,https://www.sodaidesign.com/en/products/majesty-en/vanilla-en/
,,,,Sky,https://www.sodaidesign.com/en/products/majesty-en/sky-en/
,,,,Denim,https://www.sodaidesign.com/en/products/majesty-en/denim-en/
,,,,Navy,https://www.sodaidesign.com/en/products/majesty-en/navy-en/
,,,,Forest,https://www.sodaidesign.com/en/products/majesty-en/forest-en/
,,,,Olive,https://www.sodaidesign.com/en/products/majesty-en/olive-en/
,,,,Eucalyptus,https://www.sodaidesign.com/en/products/majesty-en/eucalyptus-en/
,,Roots,Roots,Ivory,https://www.sodaidesign.com/en/products/roots-en/white-en/
,,,,Silver,https://www.sodaidesign.com/en/products/roots-en/grey-en/
,,,,Antrax,https://www.sodaidesign.com/en/products/roots-en/piombo-en/
,,,,Blue,https://www.sodaidesign.com/en/products/roots-en/petrol-en/
,,,,Green,https://www.sodaidesign.com/en/products/roots-en/musk-en/
,,,,Terra,https://www.sodaidesign.com/en/products/roots-en/skin-en/
