id,product_id,sku,color,url,gallery_photos,technical_photos
17000,1,SOD-0101,Klein,https://www.sodaidesign.com/en/products/leau-en/klein-en/,"[""https://www.sodaidesign.com/wp-content/uploads/2025/09/l-eau-klein-2560.webp"", ""https://www.sodaidesign.com/wp-content/uploads/2025/09/Sodai_L_Eau_Klein_02.webp"", ""https://www.sodaidesign.com/wp-content/uploads/2025/09/Sodai_L_Eau_Klein_01.webp"", ""https://www.sodaidesign.com/wp-content/uploads/2025/09/Sodai_L_Eau_Animalier_liquida_Klein.webp""]",[]
17001,1,SOD-0102,Jade,https://www.sodaidesign.com/en/products/leau-en/jade-en/,"[""https://www.sodaidesign.com/wp-content/uploads/2025/09/l-eau-jade-2560.webp"", ""https://www.sodaidesign.com/wp-content/uploads/2025/09/Sodai_L_Eau_liquida_Jade_03.webp"", ""https://www.sodaidesign.com/wp-content/uploads/2025/09/Sodai_L_Eau_liquida_Jade_02.webp"", ""https://www.sodaidesign.com/wp-content/uploads/2025/09/Sodai_L_Eau_liquida_Jade_01.webp"", ""https://www.sodaidesign.com/wp-content/uploads/2025/09/Sodai_L_Eau_Jade_01.webp""]",[]
17002,2,SOD-0201,Klein,https://www.sodaidesign.com/en/products/animalier-en/klein-en/,"[""https://www.sodaidesign.com/wp-content/uploads/2025/09/animalier-klein-2560.webp"", ""https://www.sodaidesign.com/wp-content/uploads/2025/09/Sodai_Animalier_Klein_01.webp"", ""https://www.sodaidesign.com/wp-content/uploads/2025/09/Sodai_L_Eau_Animalier_liquida_Klein.webp""]",[]
17003,2,SOD-0202,Jade,https://www.sodaidesign.com/en/products/animalier-en/jade-en/,"[""https://www.sodaidesign.com/wp-content/uploads/2025/09/animalier-jade-2560.webp"", ""https://www.sodaidesign.com/wp-content/uploads/2025/09/Sodai_Animalier_Jade_01.webp"", ""https://www.sodaidesign.com/wp-content/uploads/2025/09/Sodai_Animalier_Jade_05.webp""]",[]
17004,3,SOD-0301,Tortuga,https://www.sodaidesign.com/en/products/tortuga-en/tortuga-en/,"[""https://www.sodaidesign.com/wp-content/uploads/2025/09/tortuga-2560.webp"", ""https://www.sodaidesign.com/wp-content/uploads/2025/09/Sodai_Tortuga_02.webp"", ""https://www.sodaidesign.com/wp-content/uploads/2025/09/Sodai_Tortuga_01.webp"", ""https://www.sodaidesign.com/wp-content/uploads/2025/09/Sodai_Tortuga_03.webp""]",[]
17005,4,SOD-0401,Light,https://www.sodaidesign.com/en/products/rad-en/light-en/,"[""https://www.sodaidesign.com/wp-content/uploads/2024/09/Rad-Light-2560.webp"", ""https://www.sodaidesign.com/wp-content/uploads/2024/09/SODAI-Rad-Light-4.webp"", ""https://www.sodaidesign.com/wp-content/uploads/2024/09/SODAI-Rad-Light-Roots-Silver-Green-3.webp""]",[]
17006,4,SOD-0402,Mid,https://www.sodaidesign.com/en/products/rad-en/mid-en/,"[""https://www.sodaidesign.com/wp-content/uploads/2024/09/Rad-Mid-2560.webp"", ""https://www.sodaidesign.com/wp-content/uploads/2024/09/SODAI-Rad-Mid-Roots-Silver-terra-5.webp"", ""https://www.sodaidesign.com/wp-content/uploads/2024/09/SODAI-Rad-Mid-detail-6.webp"", ""https://www.sodaidesign.com/wp-content/uploads/2024/09/SODAI-Rad-Mid-Ton-2.webp""]",[]
17007,4,SOD-0403,Dark,https://www.sodaidesign.com/en/products/rad-en/piombo-en/,"[""https://www.sodaidesign.com/wp-content/uploads/2024/09/Rad-Dark-2560.webp"", ""https://www.sodaidesign.com/wp-content/uploads/2024/09/SODAI-Rad-Dark-1-1.webp"", ""https://www.sodaidesign.com/wp-content/uploads/2024/09/SODAI-Rad-Dark-Roots-Terra-7.webp""]",[]
17008,5,SOD-0501,Piombo,https://www.sodaidesign.com/en/products/majesty-en/piombo-en/,"[""https://www.sodaidesign.com/wp-content/uploads/2023/09/majesty-piombo-panzoom.webp"", ""https://www.sodaidesign.com/wp-content/uploads/2023/08/1_SODAI_RUMORS_23_Majesty_Sky.jpg"", ""https://www.sodaidesign.com/wp-content/uploads/2023/08/2_SODAI_RUMORS_23_Majesty_Samarcanda_Roots_Piombo.jpg"", ""https://www.sodaidesign.com/wp-content/uploads/2023/08/3_SODAI_RUMORS_23_Majesty_Sage.jpg"", ""https://www.sodaidesign.com/wp-content/uploads/2023/08/4_SODAI_RUMORS_23_Majesty_White.jpg"", ""https://www.sodaidesign.com/wp-content/uploads/2023/08/5_SODAI_RUMORS_23_Majesty_Eucalyptus.jpg"", ""https://www.sodaidesign.com/wp-content/uploads/2023/08/6_SODAI_RUMORS_23_Majesty_Musk.jpg"", ""https://www.sodaidesign.com/wp-content/uploads/2023/08/7_SODAI_RUMORS_23_Majesty_Petrol_Roots_Blue.jpg""]",[]
17009,5,SOD-0502,Burgundy,https://www.sodaidesign.com/en/products/majesty-en/burgundy-en/,"[""https://www.sodaidesign.com/wp-content/uploads/2023/09/majesty-BURGUNDY-panzoom.webp"", ""https://www.sodaidesign.com/wp-content/uploads/2023/08/1_SODAI_RUMORS_23_Majesty_Sky.jpg"", ""https://www.sodaidesign.com/wp-content/uploads/2023/08/2_SODAI_RUMORS_23_Majesty_Samarcanda_Roots_Piombo.jpg"", ""https://www.sodaidesign.com/wp-content/uploads/2023/08/3_SODAI_RUMORS_23_Majesty_Sage.jpg"", ""https://www.sodaidesign.com/wp-content/uploads/2023/08/4_SODAI_RUMORS_23_Majesty_White.jpg"", ""https://www.sodaidesign.com/wp-content/uploads/2023/08/5_SODAI_RUMORS_23_Majesty_Eucalyptus.jpg"", ""https://www.sodaidesign.com/wp-content/uploads/2023/08/6_SODAI_RUMORS_23_Majesty_Musk.jpg"", ""https://www.sodaidesign.com/wp-content/uploads/2023/08/7_SODAI_RUMORS_23_Majesty_Petrol_Roots_Blue.jpg""]",[]
