Categorie,Subcategorie,Sub-subcategorie,Colectie,Nume produs,Variante,link Finisaj,Link variante,COD REFERINTA,OBS
PARCHET,CLASSIC,,Tris,Tris,American Elm oiled / varnished,https://unikolegno.it/wp-content/uploads/2023/04/uk_olmo-am_oliato-verniciato.jpg,https://unikolegno.it/prodotti/tris/?lang=en,,VARIANTELE SUNT IN INTERIORUL PRODUSULUI - CELE DIN TABEL SUNT CU POZE ISH DE PE SITE. TREBUIE O RUBRICA - TIP DE LEMN - VARIANTELE SELECTATE SI SUB ELE - „PENTRU MAI MULTE TIPURI DE LEMN SI DE FINISAJE PUTETI CONSULTA CATALOGUL PRODUCATORULUI„ - LINK CU CATALOGUL CUMVA INTREGRAT FRUMOS
,,,,,Elite Oak varnished Bruges,https://unikolegno.it/wp-content/uploads/2023/05/uk_rovere_elite_verniciato_bruges.jpg,,,
,,,,,American Walnut varnished E-Matt,https://unikolegno.it/wp-content/uploads/2023/04/r-t-comm-175.jpg,,,
,,,Four,Four,Oak varnished Light,https://unikolegno.it/wp-content/uploads/2023/05/uk_rovere_verniciato_light.jpg,https://unikolegno.it/prodotti/four/?lang=en,,
,,,,,Oak varnished E-Matt,https://unikolegno.it/wp-content/uploads/2023/05/uk_rovere_verniciato_Ematt.jpg,,,
,,,Type,Type,Oak varnished Cuoio,https://unikolegno.it/wp-content/uploads/2023/04/rovere-thermo_rustico-2.jpg,https://unikolegno.it/prodotti/type/?lang=en,,
,,,,,Elite Oak varnished Bruges,https://unikolegno.it/wp-content/uploads/2023/05/uk_rovere_elite_verniciato_bruges.jpg,https://unikolegno.it/prodotti/type/?lang=en,,
,,,,,Oak Thermo 175° varnished Evo,https://unikolegno.it/wp-content/uploads/2023/05/uk_rovere_thermo_175_verniciato_evo.jpg,,,
,,,,,Oak varnished Metropolitan Trafalgar Square,https://unikolegno.it/wp-content/uploads/2023/05/uk_rovere_verniciato_metropolitan_trafalgar_square.jpg,,,
,,,,,Oak varnished Porfido,https://unikolegno.it/wp-content/uploads/2023/05/uk_rovere_verniciato_porfido.jpg,,,
,,,,,Rustic Ash Thermo 175° varnished Evo,https://unikolegno.it/wp-content/uploads/2023/05/frassino_thermo_175_rustico_verniciato-evo.jpg,,,
,CHEVRON & HERRINGBONE,,Spina,Loft Spina,Elite Oak varnished Bruges,https://unikolegno.it/wp-content/uploads/2023/05/uk_rovere_elite_verniciato_bruges.jpg,https://unikolegno.it/prodotti/loft/?lang=en,,
,,,,,Oak Thermo 175° varnished Evo,https://unikolegno.it/wp-content/uploads/2023/05/uk_rovere_thermo_175_verniciato_evo.jpg,,,
,,,,,Oak Thermo 157° varnished Evo / E-Matt,https://unikolegno.it/wp-content/uploads/2023/05/uk_rovere_thermo_157_verniciato_evoematt.jpg,,,
,,,,,Oak Thermo 130° varnished Evo / E-Matt,https://unikolegno.it/wp-content/uploads/2023/05/uk_rovere_thermo_130_verniciato_evo_ematt.jpg,,,
,,,,,American Walnut varnished E-Matt,https://unikolegno.it/wp-content/uploads/2023/04/r-t-comm-175.jpg,,,
,,,,,Ash oiled Meschio,https://unikolegno.it/wp-content/uploads/2023/05/frassino-oliato-meschio.jpg,,,
,,,Spina,Loft Classic Spina,Oak Thermo 130° varnished Evo / E-Matt,https://unikolegno.it/wp-content/uploads/2023/05/uk_rovere_thermo_130_verniciato_evo_ematt.jpg,https://unikolegno.it/prodotti/loft-classic/?lang=en,,
,,,,,Oak Thermo 157° varnished Evo / E-Matt,https://unikolegno.it/wp-content/uploads/2023/05/uk_rovere_thermo_157_verniciato_evoematt.jpg,,,
,,,,,Oak Thermo 175° varnished Evo,https://unikolegno.it/wp-content/uploads/2023/05/uk_rovere_thermo_175_verniciato_evo.jpg,,,
,,,,,American Walnut Evo,https://unikolegno.it/wp-content/uploads/2023/04/r-t-comm-157.jpg,,,
,,,,,American Walnut varnished E-Matt,https://unikolegno.it/wp-content/uploads/2023/04/r-t-comm-175.jpg,,,
,,,,,Elite Oak Hills oiled Braga,https://unikolegno.it/wp-content/uploads/2023/05/rovere_elite_braga.jpg,,,
,SPECIALE,,Twenty,Twenty,European Walnut varnished E-Matt,https://unikolegno.it/wp-content/uploads/2023/04/uk_noce-eu_verniciato-ematt.jpg,https://unikolegno.it/prodotti/twenty/?lang=en,,
,,,,,Oak varnished Evo,https://unikolegno.it/wp-content/uploads/2023/05/uk_rovere_verniciato_evo.jpg,,,
,,,,,Ash varnished Lia,https://unikolegno.it/wp-content/uploads/2023/05/frassino-verniciato-lia.jpg,,,
,,,,,Oak varnished Evo,https://unikolegno.it/wp-content/uploads/2023/05/uk_rovere_verniciato_evo.jpg,,,
